[{'label': 'fear', 'score': 0.9769452810287476}, {'label': 'approval', 'score': 0.010637711733579636}, {'label': 'nervousness', 'score': 0.002849962329491973}, {'label': 'disapproval', 'score': 0.0018613779684528708}, {'label': 'optimism', 'score': 0.0010947523405775428}]
[{'label': 'fear', 'score': 0.9648725986480713}, {'label': 'approval', 'score': 0.017935102805495262}, {'label': 'disapproval', 'score': 0.004083977080881596}, {'label': 'disgust', 'score': 0.0018621139461174607}, {'label': 'optimism', 'score': 0.0017894388874992728}]
[{'label': 'fear', 'score': 0.9008229374885559}, {'label': 'approval', 'score': 0.052867110818624496}, {'label': 'disapproval', 'score': 0.013109956867992878}, {'label': 'optimism', 'score': 0.010523202829062939}, {'label': 'disgust', 'score': 0.005528815556317568}]
[{'label': 'approval', 'score': 0.5214290022850037}, {'label': 'fear', 'score': 0.28443166613578796}, {'label': 'optimism', 'score': 0.06735790520906448}, {'label': 'admiration', 'score': 0.04210488125681877}, {'label': 'disapproval', 'score': 0.038543276488780975}]
[{'label': 'approval', 'score': 0.6687700152397156}, {'label': 'fear', 'score': 0.1349988728761673}, {'label': 'optimism', 'score': 0.07677974551916122}, {'label': 'admiration', 'score': 0.04679113253951073}, {'label': 'disapproval', 'score': 0.02782532386481762}]
[{'label': 'approval', 'score': 0.572852373123169}, {'label': 'fear', 'score': 0.28021544218063354}, {'label': 'optimism', 'score': 0.07246018946170807}, {'label': 'admiration', 'score': 0.018216503784060478}, {'label': 'disapproval', 'score': 0.015597453340888023}]
[{'label': 'approval', 'score': 0.8234111070632935}, {'label': 'fear', 'score': 0.07426869869232178}, {'label': 'optimism', 'score': 0.05716370791196823}, {'label': 'realization', 'score': 0.011695767752826214}, {'label': 'admiration', 'score': 0.007574854418635368}]
[{'label': 'approval', 'score': 0.6746261119842529}, {'label': 'fear', 'score': 0.20935657620429993}, {'label': 'optimism', 'score': 0.04865235462784767}, {'label': 'admiration', 'score': 0.021351521834731102}, {'label': 'realization', 'score': 0.010313705541193485}]
[{'label': 'approval', 'score': 0.7297186255455017}, {'label': 'realization', 'score': 0.09097082912921906}, {'label': 'fear', 'score': 0.08703987300395966}, {'label': 'optimism', 'score': 0.041921548545360565}, {'label': 'nervousness', 'score': 0.013268666341900826}]
[{'label': 'approval', 'score': 0.5326008200645447}, {'label': 'realization', 'score': 0.27270421385765076}, {'label': 'fear', 'score': 0.10264498740434647}, {'label': 'optimism', 'score': 0.03407962992787361}, {'label': 'relief', 'score': 0.009644945152103901}]
[{'label': 'approval', 'score': 0.6394673585891724}, {'label': 'realization', 'score': 0.13487854599952698}, {'label': 'admiration', 'score': 0.06954271346330643}, {'label': 'optimism', 'score': 0.06924431771039963}, {'label': 'relief', 'score': 0.022698985412716866}]
[{'label': 'approval', 'score': 0.5905045866966248}, {'label': 'admiration', 'score': 0.28661519289016724}, {'label': 'optimism', 'score': 0.05128103494644165}, {'label': 'realization', 'score': 0.014788181520998478}, {'label': 'relief', 'score': 0.012030667625367641}]
[{'label': 'admiration', 'score': 0.7269184589385986}, {'label': 'approval', 'score': 0.22275377810001373}, {'label': 'disapproval', 'score': 0.015446746721863747}, {'label': 'optimism', 'score': 0.007730132434517145}, {'label': 'realization', 'score': 0.006049230229109526}]
[{'label': 'admiration', 'score': 0.472726047039032}, {'label': 'approval', 'score': 0.4547688663005829}, {'label': 'disapproval', 'score': 0.018682537600398064}, {'label': 'optimism', 'score': 0.018487216904759407}, {'label': 'realization', 'score': 0.010900221765041351}]
[{'label': 'approval', 'score': 0.5527929663658142}, {'label': 'admiration', 'score': 0.340594619512558}, {'label': 'optimism', 'score': 0.0353095568716526}, {'label': 'realization', 'score': 0.021736053749918938}, {'label': 'disapproval', 'score': 0.021274691447615623}]
[{'label': 'approval', 'score': 0.5572606921195984}, {'label': 'admiration', 'score': 0.3245428502559662}, {'label': 'realization', 'score': 0.03798497095704079}, {'label': 'optimism', 'score': 0.03394707664847374}, {'label': 'disapproval', 'score': 0.015959763899445534}]
[{'label': 'admiration', 'score': 0.8231370449066162}, {'label': 'approval', 'score': 0.14079831540584564}, {'label': 'disapproval', 'score': 0.009169691242277622}, {'label': 'optimism', 'score': 0.006498761009424925}, {'label': 'realization', 'score': 0.0050923447124660015}]
[{'label': 'admiration', 'score': 0.896412193775177}, {'label': 'approval', 'score': 0.07994713634252548}, {'label': 'disapproval', 'score': 0.0049850111827254295}, {'label': 'realization', 'score': 0.0037155163008719683}, {'label': 'optimism', 'score': 0.0033036842942237854}]
[{'label': 'admiration', 'score': 0.9230598211288452}, {'label': 'approval', 'score': 0.06010458245873451}, {'label': 'disapproval', 'score': 0.004307291470468044}, {'label': 'love', 'score': 0.001837687916122377}, {'label': 'neutral', 'score': 0.001818151562474668}]
[{'label': 'admiration', 'score': 0.8222857117652893}, {'label': 'approval', 'score': 0.15256626904010773}, {'label': 'disapproval', 'score': 0.0057237762957811356}, {'label': 'realization', 'score': 0.004406268708407879}, {'label': 'disappointment', 'score': 0.0025033133570104837}]
[{'label': 'admiration', 'score': 0.842564046382904}, {'label': 'approval', 'score': 0.12891297042369843}, {'label': 'realization', 'score': 0.008982118219137192}, {'label': 'optimism', 'score': 0.0034061691258102655}, {'label': 'relief', 'score': 0.0031000275630503893}]
[{'label': 'admiration', 'score': 0.9376636147499084}, {'label': 'approval', 'score': 0.04783094301819801}, {'label': 'optimism', 'score': 0.0023170122876763344}, {'label': 'disapproval', 'score': 0.0018189880065619946}, {'label': 'relief', 'score': 0.0015890398062765598}]
