[{'label': 'sadness', 'score': 0.7678876519203186}, {'label': 'fear', 'score': 0.15435345470905304}, {'label': 'disappointment', 'score': 0.0493399053812027}, {'label': 'grief', 'score': 0.00836222991347313}, {'label': 'remorse', 'score': 0.007599496748298407}]
[{'label': 'sadness', 'score': 0.5550346970558167}, {'label': 'fear', 'score': 0.37059804797172546}, {'label': 'disappointment', 'score': 0.04376184195280075}, {'label': 'grief', 'score': 0.008543701842427254}, {'label': 'remorse', 'score': 0.005917014088481665}]
[{'label': 'sadness', 'score': 0.5503936409950256}, {'label': 'fear', 'score': 0.39308175444602966}, {'label': 'disappointment', 'score': 0.029498398303985596}, {'label': 'grief', 'score': 0.008040162734687328}, {'label': 'nervousness', 'score': 0.005691846366971731}]
[{'label': 'sadness', 'score': 0.6826384663581848}, {'label': 'fear', 'score': 0.2666686177253723}, {'label': 'disappointment', 'score': 0.021435551345348358}, {'label': 'grief', 'score': 0.013187460601329803}, {'label': 'nervousness', 'score': 0.00418585492298007}]
[{'label': 'sadness', 'score': 0.6318938136100769}, {'label': 'fear', 'score': 0.3029687702655792}, {'label': 'grief', 'score': 0.028277527540922165}, {'label': 'disappointment', 'score': 0.017117641866207123}, {'label': 'remorse', 'score': 0.004219898954033852}]
[{'label': 'sadness', 'score': 0.6052607893943787}, {'label': 'fear', 'score': 0.31745806336402893}, {'label': 'grief', 'score': 0.039622414857149124}, {'label': 'disappointment', 'score': 0.014540017582476139}, {'label': 'remorse', 'score': 0.005384866613894701}]
[{'label': 'sadness', 'score': 0.6199771165847778}, {'label': 'fear', 'score': 0.30981534719467163}, {'label': 'grief', 'score': 0.03261469677090645}, {'label': 'disappointment', 'score': 0.015242502093315125}, {'label': 'remorse', 'score': 0.006758634001016617}]
[{'label': 'fear', 'score': 0.9106394052505493}, {'label': 'sadness', 'score': 0.06902507692575455}, {'label': 'disappointment', 'score': 0.0075265937484800816}, {'label': 'grief', 'score': 0.0024512424133718014}, {'label': 'nervousness', 'score': 0.002183405216783285}]
[{'label': 'fear', 'score': 0.9052395820617676}, {'label': 'sadness', 'score': 0.07421515882015228}, {'label': 'disappointment', 'score': 0.007523825392127037}, {'label': 'grief', 'score': 0.0024697266053408384}, {'label': 'nervousness', 'score': 0.002308330964297056}]
[{'label': 'fear', 'score': 0.7411169409751892}, {'label': 'sadness', 'score': 0.21801914274692535}, {'label': 'disappointment', 'score': 0.021816585212945938}, {'label': 'grief', 'score': 0.004516293294727802}, {'label': 'nervousness', 'score': 0.004093578085303307}]
[{'label': 'fear', 'score': 0.7521631121635437}, {'label': 'sadness', 'score': 0.20838278532028198}, {'label': 'disappointment', 'score': 0.021260838955640793}, {'label': 'nervousness', 'score': 0.004173440393060446}, {'label': 'grief', 'score': 0.004026103764772415}]
