[{'label': 'neutral', 'score': 0.875518798828125}, {'label': 'gratitude', 'score': 0.08768142759799957}, {'label': 'optimism', 'score': 0.010589150711894035}, {'label': 'annoyance', 'score': 0.008997276425361633}, {'label': 'disappointment', 'score': 0.0037941443733870983}]
[{'label': 'neutral', 'score': 0.7396652698516846}, {'label': 'gratitude', 'score': 0.2195674031972885}, {'label': 'annoyance', 'score': 0.011232953518629074}, {'label': 'optimism', 'score': 0.009059724397957325}, {'label': 'admiration', 'score': 0.006456995848566294}]
[{'label': 'neutral', 'score': 0.7127059698104858}, {'label': 'gratitude', 'score': 0.2486971616744995}, {'label': 'annoyance', 'score': 0.009399957954883575}, {'label': 'admiration', 'score': 0.007488383911550045}, {'label': 'optimism', 'score': 0.007101149298250675}]
[{'label': 'neutral', 'score': 0.8377765417098999}, {'label': 'gratitude', 'score': 0.13204796612262726}, {'label': 'disappointment', 'score': 0.005186283960938454}, {'label': 'admiration', 'score': 0.005144268274307251}, {'label': 'annoyance', 'score': 0.004478040151298046}]
[{'label': 'neutral', 'score': 0.816802978515625}, {'label': 'gratitude', 'score': 0.15261830389499664}, {'label': 'optimism', 'score': 0.00615123612806201}, {'label': 'disappointment', 'score': 0.004942668601870537}, {'label': 'admiration', 'score': 0.0032552422489970922}]
[{'label': 'neutral', 'score': 0.9197872877120972}, {'label': 'gratitude', 'score': 0.04427936673164368}, {'label': 'optimism', 'score': 0.008877884596586227}, {'label': 'disapproval', 'score': 0.004006992559880018}, {'label': 'approval', 'score': 0.003604085883125663}]
[{'label': 'neutral', 'score': 0.9706382155418396}, {'label': 'optimism', 'score': 0.004306544084101915}, {'label': 'disapproval', 'score': 0.0039047710597515106}, {'label': 'gratitude', 'score': 0.003488653339445591}, {'label': 'joy', 'score': 0.0029566623270511627}]
[{'label': 'neutral', 'score': 0.9553705453872681}, {'label': 'gratitude', 'score': 0.011270688846707344}, {'label': 'disapproval', 'score': 0.005510795395821333}, {'label': 'joy', 'score': 0.004375095944851637}, {'label': 'approval', 'score': 0.0037426978815346956}]
[{'label': 'neutral', 'score': 0.8698431253433228}, {'label': 'joy', 'score': 0.06878598034381866}, {'label': 'disapproval', 'score': 0.016010262072086334}, {'label': 'gratitude', 'score': 0.006509749684482813}, {'label': 'approval', 'score': 0.006466369144618511}]
[{'label': 'neutral', 'score': 0.8407316207885742}, {'label': 'joy', 'score': 0.0791434496641159}, {'label': 'gratitude', 'score': 0.021778903901576996}, {'label': 'disapproval', 'score': 0.014744199812412262}, {'label': 'approval', 'score': 0.011260160245001316}]
[{'label': 'neutral', 'score': 0.852724552154541}, {'label': 'joy', 'score': 0.04425873979926109}, {'label': 'gratitude', 'score': 0.03625813126564026}, {'label': 'disapproval', 'score': 0.017929868772625923}, {'label': 'disappointment', 'score': 0.010495834983885288}]
[{'label': 'neutral', 'score': 0.7421805262565613}, {'label': 'gratitude', 'score': 0.12344765663146973}, {'label': 'caring', 'score': 0.04213721305131912}, {'label': 'disappointment', 'score': 0.018509982153773308}, {'label': 'joy', 'score': 0.018095199018716812}]
[{'label': 'neutral', 'score': 0.8801802396774292}, {'label': 'caring', 'score': 0.04197309911251068}, {'label': 'disappointment', 'score': 0.015420589596033096}, {'label': 'joy', 'score': 0.015211768448352814}, {'label': 'approval', 'score': 0.01254596933722496}]
[{'label': 'neutral', 'score': 0.8297076225280762}, {'label': 'caring', 'score': 0.05636660009622574}, {'label': 'joy', 'score': 0.037650227546691895}, {'label': 'gratitude', 'score': 0.019882407039403915}, {'label': 'approval', 'score': 0.018232177942991257}]
[{'label': 'neutral', 'score': 0.7322001457214355}, {'label': 'joy', 'score': 0.1268642693758011}, {'label': 'approval', 'score': 0.04606799781322479}, {'label': 'caring', 'score': 0.03553743287920952}, {'label': 'disapproval', 'score': 0.015624042600393295}]
[{'label': 'neutral', 'score': 0.7477102279663086}, {'label': 'joy', 'score': 0.0778806135058403}, {'label': 'caring', 'score': 0.049157530069351196}, {'label': 'approval', 'score': 0.03205156698822975}, {'label': 'gratitude', 'score': 0.027688486501574516}]
[{'label': 'neutral', 'score': 0.6380273103713989}, {'label': 'joy', 'score': 0.1027064174413681}, {'label': 'caring', 'score': 0.07671302556991577}, {'label': 'gratitude', 'score': 0.06963097304105759}, {'label': 'approval', 'score': 0.039190758019685745}]
[{'label': 'neutral', 'score': 0.6274166107177734}, {'label': 'gratitude', 'score': 0.2516106963157654}, {'label': 'caring', 'score': 0.03276703134179115}, {'label': 'joy', 'score': 0.02462245151400566}, {'label': 'disapproval', 'score': 0.016041867434978485}]
[{'label': 'neutral', 'score': 0.6787553429603577}, {'label': 'joy', 'score': 0.15732696652412415}, {'label': 'optimism', 'score': 0.03149428218603134}, {'label': 'caring', 'score': 0.031176244840025902}, {'label': 'disapproval', 'score': 0.02889951318502426}]
[{'label': 'neutral', 'score': 0.9327971935272217}, {'label': 'realization', 'score': 0.010928683914244175}, {'label': 'disappointment', 'score': 0.009501415304839611}, {'label': 'joy', 'score': 0.009307892993092537}, {'label': 'disapproval', 'score': 0.009084384888410568}]
[{'label': 'neutral', 'score': 0.9473240971565247}, {'label': 'disappointment', 'score': 0.012173478491604328}, {'label': 'disapproval', 'score': 0.010865837335586548}, {'label': 'realization', 'score': 0.006023918744176626}, {'label': 'sadness', 'score': 0.005712416023015976}]
[{'label': 'neutral', 'score': 0.9426848888397217}, {'label': 'disappointment', 'score': 0.019362496212124825}, {'label': 'disapproval', 'score': 0.010181632824242115}, {'label': 'sadness', 'score': 0.008261182345449924}, {'label': 'realization', 'score': 0.005897486116737127}]
[{'label': 'neutral', 'score': 0.9601014256477356}, {'label': 'disappointment', 'score': 0.016776273027062416}, {'label': 'sadness', 'score': 0.006309674587100744}, {'label': 'disapproval', 'score': 0.005236099474132061}, {'label': 'realization', 'score': 0.003351240884512663}]
[{'label': 'neutral', 'score': 0.9723165035247803}, {'label': 'disappointment', 'score': 0.01091435831040144}, {'label': 'sadness', 'score': 0.00369983515702188}, {'label': 'disapproval', 'score': 0.003529747948050499}, {'label': 'realization', 'score': 0.0024165573995560408}]
[{'label': 'neutral', 'score': 0.9775236248970032}, {'label': 'disappointment', 'score': 0.007131780032068491}, {'label': 'disapproval', 'score': 0.0032855842728167772}, {'label': 'sadness', 'score': 0.002194244647398591}, {'label': 'realization', 'score': 0.0021835993975400925}]
[{'label': 'neutral', 'score': 0.9722971320152283}, {'label': 'disappointment', 'score': 0.00758640980347991}, {'label': 'disapproval', 'score': 0.004034479148685932}, {'label': 'realization', 'score': 0.0038142516277730465}, {'label': 'sadness', 'score': 0.0028833355754613876}]
[{'label': 'neutral', 'score': 0.9528944492340088}, {'label': 'disappointment', 'score': 0.012666791677474976}, {'label': 'disapproval', 'score': 0.010862751863896847}, {'label': 'realization', 'score': 0.006868676282465458}, {'label': 'sadness', 'score': 0.004586440045386553}]
[{'label': 'neutral', 'score': 0.947788655757904}, {'label': 'disapproval', 'score': 0.012915991246700287}, {'label': 'disappointment', 'score': 0.009489313699305058}, {'label': 'realization', 'score': 0.00940475519746542}, {'label': 'sadness', 'score': 0.004383489489555359}]
[{'label': 'neutral', 'score': 0.9290083050727844}, {'label': 'optimism', 'score': 0.033653825521469116}, {'label': 'disappointment', 'score': 0.009768065065145493}, {'label': 'disapproval', 'score': 0.005093169864267111}, {'label': 'fear', 'score': 0.004199265036731958}]
[{'label': 'neutral', 'score': 0.95216304063797}, {'label': 'disappointment', 'score': 0.01161033846437931}, {'label': 'disapproval', 'score': 0.007381599396467209}, {'label': 'sadness', 'score': 0.005688757169991732}, {'label': 'fear', 'score': 0.005425778683274984}]
[{'label': 'neutral', 'score': 0.9477832913398743}, {'label': 'disapproval', 'score': 0.011139629408717155}, {'label': 'disappointment', 'score': 0.009179363958537579}, {'label': 'realization', 'score': 0.006976282224059105}, {'label': 'sadness', 'score': 0.005548703484237194}]
[{'label': 'neutral', 'score': 0.943261444568634}, {'label': 'disapproval', 'score': 0.011868095025420189}, {'label': 'realization', 'score': 0.011431432329118252}, {'label': 'disappointment', 'score': 0.007774803321808577}, {'label': 'amusement', 'score': 0.00607371237128973}]
[{'label': 'neutral', 'score': 0.943358302116394}, {'label': 'realization', 'score': 0.013142111711204052}, {'label': 'disapproval', 'score': 0.011869875714182854}, {'label': 'disappointment', 'score': 0.008536095730960369}, {'label': 'sadness', 'score': 0.004728329833596945}]
[{'label': 'neutral', 'score': 0.927850067615509}, {'label': 'realization', 'score': 0.017288802191615105}, {'label': 'amusement', 'score': 0.013965054415166378}, {'label': 'disapproval', 'score': 0.011370515450835228}, {'label': 'disappointment', 'score': 0.004991884343326092}]
[{'label': 'neutral', 'score': 0.9057657122612}, {'label': 'amusement', 'score': 0.03880181536078453}, {'label': 'disapproval', 'score': 0.012979456223547459}, {'label': 'realization', 'score': 0.012340858578681946}, {'label': 'approval', 'score': 0.006069389171898365}]
[{'label': 'neutral', 'score': 0.9289007186889648}, {'label': 'amusement', 'score': 0.01661466807126999}, {'label': 'realization', 'score': 0.014346075244247913}, {'label': 'joy', 'score': 0.009241451509296894}, {'label': 'disapproval', 'score': 0.008282637223601341}]
[{'label': 'neutral', 'score': 0.9000556468963623}, {'label': 'amusement', 'score': 0.03942227363586426}, {'label': 'disapproval', 'score': 0.013469955883920193}, {'label': 'realization', 'score': 0.011931249871850014}, {'label': 'joy', 'score': 0.0069844662211835384}]
[{'label': 'neutral', 'score': 0.9109234809875488}, {'label': 'disapproval', 'score': 0.01352414395660162}, {'label': 'joy', 'score': 0.013017961755394936}, {'label': 'realization', 'score': 0.01284219603985548}, {'label': 'amusement', 'score': 0.012566415593028069}]
