[{'label': 'surprise', 'score': 0.9759148955345154}, {'label': 'realization', 'score': 0.013276294805109501}, {'label': 'neutral', 'score': 0.00579014653339982}, {'label': 'excitement', 'score': 0.0011472522746771574}, {'label': 'disapproval', 'score': 0.0008893171907402575}]
[{'label': 'surprise', 'score': 0.9664822816848755}, {'label': 'realization', 'score': 0.015804141759872437}, {'label': 'neutral', 'score': 0.011624284088611603}, {'label': 'disapproval', 'score': 0.0011887666769325733}, {'label': 'excitement', 'score': 0.001187667017802596}]
[{'label': 'surprise', 'score': 0.9616848826408386}, {'label': 'realization', 'score': 0.019669730216264725}, {'label': 'neutral', 'score': 0.011787843890488148}, {'label': 'disapproval', 'score': 0.0015588239766657352}, {'label': 'excitement', 'score': 0.0012658981140702963}]
[{'label': 'surprise', 'score': 0.9594529271125793}, {'label': 'realization', 'score': 0.02273181825876236}, {'label': 'neutral', 'score': 0.011082354933023453}, {'label': 'disapproval', 'score': 0.0014385089743882418}, {'label': 'excitement', 'score': 0.001353084691800177}]
[{'label': 'surprise', 'score': 0.9769338965415955}, {'label': 'realization', 'score': 0.012891750782728195}, {'label': 'neutral', 'score': 0.004933087155222893}, {'label': 'excitement', 'score': 0.0012673009186983109}, {'label': 'disapproval', 'score': 0.001100604422390461}]
[{'label': 'surprise', 'score': 0.9785270690917969}, {'label': 'realization', 'score': 0.011859354563057423}, {'label': 'neutral', 'score': 0.0043854014948010445}, {'label': 'excitement', 'score': 0.001345692086033523}, {'label': 'disapproval', 'score': 0.001141333137638867}]
[{'label': 'surprise', 'score': 0.9738149046897888}, {'label': 'realization', 'score': 0.014246804639697075}, {'label': 'neutral', 'score': 0.005454219412058592}, {'label': 'disapproval', 'score': 0.0017246765783056617}, {'label': 'excitement', 'score': 0.0015722083626314998}]
[{'label': 'surprise', 'score': 0.9714947938919067}, {'label': 'realization', 'score': 0.014715981669723988}, {'label': 'neutral', 'score': 0.006741657853126526}, {'label': 'excitement', 'score': 0.0019096145406365395}, {'label': 'disapproval', 'score': 0.0017644154140725732}]
[{'label': 'surprise', 'score': 0.9524701237678528}, {'label': 'realization', 'score': 0.02493125945329666}, {'label': 'neutral', 'score': 0.012045701034367085}, {'label': 'disapproval', 'score': 0.003375982865691185}, {'label': 'excitement', 'score': 0.0020080762915313244}]
[{'label': 'surprise', 'score': 0.9438396692276001}, {'label': 'realization', 'score': 0.03361567482352257}, {'label': 'neutral', 'score': 0.012624068185687065}, {'label': 'disapproval', 'score': 0.0027615223079919815}, {'label': 'excitement', 'score': 0.0019016147125512362}]
[{'label': 'surprise', 'score': 0.9622968435287476}, {'label': 'realization', 'score': 0.024254290387034416}, {'label': 'neutral', 'score': 0.006533173378556967}, {'label': 'excitement', 'score': 0.00214121351018548}, {'label': 'disapproval', 'score': 0.001158038736321032}]
[{'label': 'surprise', 'score': 0.9617033004760742}, {'label': 'realization', 'score': 0.02381736971437931}, {'label': 'neutral', 'score': 0.004718851298093796}, {'label': 'disapproval', 'score': 0.0035612592473626137}, {'label': 'excitement', 'score': 0.0019234099891036749}]
[{'label': 'surprise', 'score': 0.9728944301605225}, {'label': 'realization', 'score': 0.01919594220817089}, {'label': 'neutral', 'score': 0.001835229224525392}, {'label': 'excitement', 'score': 0.0016279377741739154}, {'label': 'disapproval', 'score': 0.001214897260069847}]
[{'label': 'surprise', 'score': 0.9647228717803955}, {'label': 'realization', 'score': 0.025254221633076668}, {'label': 'neutral', 'score': 0.0026279801968485117}, {'label': 'excitement', 'score': 0.0018592886626720428}, {'label': 'disapproval', 'score': 0.0012839279370382428}]
[{'label': 'surprise', 'score': 0.9574753046035767}, {'label': 'realization', 'score': 0.03145512193441391}, {'label': 'neutral', 'score': 0.002622980624437332}, {'label': 'excitement', 'score': 0.0019888905808329582}, {'label': 'confusion', 'score': 0.0018804011633619666}]
[{'label': 'surprise', 'score': 0.9268285036087036}, {'label': 'realization', 'score': 0.05138157308101654}, {'label': 'neutral', 'score': 0.010535365901887417}, {'label': 'confusion', 'score': 0.002567942952737212}, {'label': 'excitement', 'score': 0.0024956315755844116}]
[{'label': 'surprise', 'score': 0.9234493970870972}, {'label': 'realization', 'score': 0.054480087012052536}, {'label': 'neutral', 'score': 0.010357805527746677}, {'label': 'confusion', 'score': 0.0028272143099457026}, {'label': 'excitement', 'score': 0.0025789921637624502}]
[{'label': 'surprise', 'score': 0.9514934420585632}, {'label': 'realization', 'score': 0.033393360674381256}, {'label': 'neutral', 'score': 0.006038098596036434}, {'label': 'excitement', 'score': 0.002541608177125454}, {'label': 'confusion', 'score': 0.0014198466669768095}]
[{'label': 'surprise', 'score': 0.9687640070915222}, {'label': 'realization', 'score': 0.019599033519625664}, {'label': 'neutral', 'score': 0.004343547858297825}, {'label': 'excitement', 'score': 0.002462745178490877}, {'label': 'disapproval', 'score': 0.001001364435069263}]
[{'label': 'surprise', 'score': 0.9742635488510132}, {'label': 'realization', 'score': 0.013753344304859638}, {'label': 'neutral', 'score': 0.004695894196629524}, {'label': 'excitement', 'score': 0.002476141322404146}, {'label': 'disapproval', 'score': 0.0009905515471473336}]
[{'label': 'surprise', 'score': 0.9732065200805664}, {'label': 'realization', 'score': 0.014777064323425293}, {'label': 'neutral', 'score': 0.0047907535918056965}, {'label': 'excitement', 'score': 0.0020885029807686806}, {'label': 'confusion', 'score': 0.0011158861452713609}]
