[{'label': 'fear', 'score': 0.914579451084137}, {'label': 'neutral', 'score': 0.03228474035859108}, {'label': 'sadness', 'score': 0.029377207159996033}, {'label': 'nervousness', 'score': 0.012540335766971111}, {'label': 'disappointment', 'score': 0.004342852160334587}]
[{'label': 'fear', 'score': 0.985089898109436}, {'label': 'neutral', 'score': 0.0046615940518677235}, {'label': 'nervousness', 'score': 0.00447040842846036}, {'label': 'sadness', 'score': 0.0017806459218263626}, {'label': 'disappointment', 'score': 0.0013008562382310629}]
[{'label': 'fear', 'score': 0.9801836609840393}, {'label': 'neutral', 'score': 0.00832045916467905}, {'label': 'nervousness', 'score': 0.004322907421737909}, {'label': 'sadness', 'score': 0.0018958221189677715}, {'label': 'disappointment', 'score': 0.0014707858208566904}]
[{'label': 'fear', 'score': 0.8180491924285889}, {'label': 'neutral', 'score': 0.09890592098236084}, {'label': 'sadness', 'score': 0.05104546993970871}, {'label': 'nervousness', 'score': 0.011807756498456001}, {'label': 'disappointment', 'score': 0.008623642846941948}]
[{'label': 'neutral', 'score': 0.6245619058609009}, {'label': 'fear', 'score': 0.19277513027191162}, {'label': 'sadness', 'score': 0.0920955240726471}, {'label': 'confusion', 'score': 0.021378079429268837}, {'label': 'curiosity', 'score': 0.01617695577442646}]
[{'label': 'neutral', 'score': 0.7543780207633972}, {'label': 'curiosity', 'score': 0.060970429331064224}, {'label': 'sadness', 'score': 0.04840026795864105}, {'label': 'confusion', 'score': 0.033033616840839386}, {'label': 'surprise', 'score': 0.030352842062711716}]
[{'label': 'neutral', 'score': 0.6745707392692566}, {'label': 'surprise', 'score': 0.07701492309570312}, {'label': 'curiosity', 'score': 0.0718366876244545}, {'label': 'sadness', 'score': 0.04251454770565033}, {'label': 'confusion', 'score': 0.0384025014936924}]
[{'label': 'fear', 'score': 0.7070346474647522}, {'label': 'neutral', 'score': 0.12312130630016327}, {'label': 'curiosity', 'score': 0.03410157933831215}, {'label': 'confusion', 'score': 0.030295098200440407}, {'label': 'sadness', 'score': 0.02569456212222576}]
[{'label': 'fear', 'score': 0.8100463151931763}, {'label': 'neutral', 'score': 0.06691081076860428}, {'label': 'curiosity', 'score': 0.02516799420118332}, {'label': 'confusion', 'score': 0.023998446762561798}, {'label': 'sadness', 'score': 0.02279689721763134}]
[{'label': 'fear', 'score': 0.856471598148346}, {'label': 'neutral', 'score': 0.07389211654663086}, {'label': 'sadness', 'score': 0.02220657467842102}, {'label': 'nervousness', 'score': 0.015133913606405258}, {'label': 'confusion', 'score': 0.007556677330285311}]
[{'label': 'fear', 'score': 0.8252748847007751}, {'label': 'neutral', 'score': 0.06269607692956924}, {'label': 'sadness', 'score': 0.024624068289995193}, {'label': 'nervousness', 'score': 0.02185397781431675}, {'label': 'confusion', 'score': 0.01651937887072563}]
[{'label': 'fear', 'score': 0.5272649526596069}, {'label': 'neutral', 'score': 0.2999718487262726}, {'label': 'sadness', 'score': 0.09683870524168015}, {'label': 'disappointment', 'score': 0.02162334881722927}, {'label': 'nervousness', 'score': 0.019347967579960823}]
[{'label': 'fear', 'score': 0.8863868117332458}, {'label': 'neutral', 'score': 0.06284338980913162}, {'label': 'nervousness', 'score': 0.014604977332055569}, {'label': 'sadness', 'score': 0.011857285164296627}, {'label': 'disappointment', 'score': 0.00865087378770113}]
[{'label': 'fear', 'score': 0.950031578540802}, {'label': 'neutral', 'score': 0.017591558396816254}, {'label': 'nervousness', 'score': 0.010910498909652233}, {'label': 'disappointment', 'score': 0.00458837766200304}, {'label': 'sadness', 'score': 0.003260020399466157}]
[{'label': 'fear', 'score': 0.9658002853393555}, {'label': 'nervousness', 'score': 0.010559489950537682}, {'label': 'neutral', 'score': 0.007463246583938599}, {'label': 'confusion', 'score': 0.004289977718144655}, {'label': 'disappointment', 'score': 0.0022019371390342712}]
[{'label': 'fear', 'score': 0.9719820022583008}, {'label': 'nervousness', 'score': 0.007840228267014027}, {'label': 'neutral', 'score': 0.005677988287061453}, {'label': 'confusion', 'score': 0.004127108957618475}, {'label': 'realization', 'score': 0.0019690804183483124}]
[{'label': 'fear', 'score': 0.9655453562736511}, {'label': 'nervousness', 'score': 0.010108653455972672}, {'label': 'neutral', 'score': 0.006121473852545023}, {'label': 'confusion', 'score': 0.0038259848952293396}, {'label': 'realization', 'score': 0.0032630395144224167}]
[{'label': 'fear', 'score': 0.9682486653327942}, {'label': 'nervousness', 'score': 0.009416327811777592}, {'label': 'neutral', 'score': 0.0064873774535954}, {'label': 'confusion', 'score': 0.003876090981066227}, {'label': 'disappointment', 'score': 0.0025844683405011892}]
[{'label': 'fear', 'score': 0.8576263785362244}, {'label': 'neutral', 'score': 0.05165359750390053}, {'label': 'realization', 'score': 0.026241475716233253}, {'label': 'nervousness', 'score': 0.023069852963089943}, {'label': 'sadness', 'score': 0.010795993730425835}]
[{'label': 'fear', 'score': 0.7209528684616089}, {'label': 'neutral', 'score': 0.1310969442129135}, {'label': 'realization', 'score': 0.03893590718507767}, {'label': 'nervousness', 'score': 0.0313141904771328}, {'label': 'sadness', 'score': 0.01942368410527706}]
[{'label': 'fear', 'score': 0.7171482443809509}, {'label': 'neutral', 'score': 0.12244261801242828}, {'label': 'realization', 'score': 0.03686677664518356}, {'label': 'nervousness', 'score': 0.03347316384315491}, {'label': 'surprise', 'score': 0.03075777366757393}]
[{'label': 'surprise', 'score': 0.5335919857025146}, {'label': 'realization', 'score': 0.1854752153158188}, {'label': 'neutral', 'score': 0.1459556668996811}, {'label': 'fear', 'score': 0.045845311135053635}, {'label': 'disappointment', 'score': 0.03555433079600334}]
[{'label': 'surprise', 'score': 0.732008159160614}, {'label': 'realization', 'score': 0.13547590374946594}, {'label': 'neutral', 'score': 0.07392071187496185}, {'label': 'disappointment', 'score': 0.01298081036657095}, {'label': 'optimism', 'score': 0.009190400131046772}]
[{'label': 'surprise', 'score': 0.3105391263961792}, {'label': 'neutral', 'score': 0.2089155912399292}, {'label': 'curiosity', 'score': 0.12198768556118011}, {'label': 'fear', 'score': 0.1160823330283165}, {'label': 'realization', 'score': 0.06646476686000824}]
[{'label': 'surprise', 'score': 0.2521045207977295}, {'label': 'realization', 'score': 0.2334187775850296}, {'label': 'fear', 'score': 0.18059995770454407}, {'label': 'neutral', 'score': 0.1596992015838623}, {'label': 'confusion', 'score': 0.032412100583314896}]
[{'label': 'surprise', 'score': 0.33061468601226807}, {'label': 'realization', 'score': 0.23482970893383026}, {'label': 'fear', 'score': 0.16352280974388123}, {'label': 'neutral', 'score': 0.12459591776132584}, {'label': 'disappointment', 'score': 0.031746771186590195}]
[{'label': 'neutral', 'score': 0.26121413707733154}, {'label': 'surprise', 'score': 0.23885147273540497}, {'label': 'confusion', 'score': 0.09605585783720016}, {'label': 'realization', 'score': 0.09333962947130203}, {'label': 'fear', 'score': 0.09219781309366226}]
