[{'label': 'neutral', 'score': 0.7436450719833374}, {'label': 'sadness', 'score': 0.1223127469420433}, {'label': 'anger', 'score': 0.04056321457028389}, {'label': 'disappointment', 'score': 0.030165070667862892}, {'label': 'annoyance', 'score': 0.02187240496277809}]
[{'label': 'neutral', 'score': 0.7003486752510071}, {'label': 'sadness', 'score': 0.22365806996822357}, {'label': 'disappointment', 'score': 0.03598829358816147}, {'label': 'fear', 'score': 0.014401785098016262}, {'label': 'annoyance', 'score': 0.005525852553546429}]
[{'label': 'neutral', 'score': 0.7460604906082153}, {'label': 'sadness', 'score': 0.16395904123783112}, {'label': 'disappointment', 'score': 0.0456075556576252}, {'label': 'fear', 'score': 0.01904910057783127}, {'label': 'annoyance', 'score': 0.004468846600502729}]
[{'label': 'neutral', 'score': 0.5816104412078857}, {'label': 'sadness', 'score': 0.26513999700546265}, {'label': 'disappointment', 'score': 0.057736437767744064}, {'label': 'fear', 'score': 0.05202515423297882}, {'label': 'annoyance', 'score': 0.010656239464879036}]
[{'label': 'neutral', 'score': 0.7349262833595276}, {'label': 'sadness', 'score': 0.08085618913173676}, {'label': 'disappointment', 'score': 0.05948978289961815}, {'label': 'fear', 'score': 0.04757503420114517}, {'label': 'annoyance', 'score': 0.024813322350382805}]
[{'label': 'neutral', 'score': 0.7353827357292175}, {'label': 'sadness', 'score': 0.07893791049718857}, {'label': 'disappointment', 'score': 0.05758444219827652}, {'label': 'fear', 'score': 0.04868273437023163}, {'label': 'annoyance', 'score': 0.026278849691152573}]
[{'label': 'neutral', 'score': 0.9211438298225403}, {'label': 'sadness', 'score': 0.02755891904234886}, {'label': 'annoyance', 'score': 0.012192168273031712}, {'label': 'anger', 'score': 0.009924382902681828}, {'label': 'disappointment', 'score': 0.007438330445438623}]
[{'label': 'neutral', 'score': 0.9706065654754639}, {'label': 'annoyance', 'score': 0.005730993114411831}, {'label': 'sadness', 'score': 0.005602964200079441}, {'label': 'anger', 'score': 0.00521831214427948}, {'label': 'disappointment', 'score': 0.0029574185609817505}]
[{'label': 'neutral', 'score': 0.9713699221611023}, {'label': 'anger', 'score': 0.006597448140382767}, {'label': 'annoyance', 'score': 0.004868991207331419}, {'label': 'sadness', 'score': 0.004656689707189798}, {'label': 'optimism', 'score': 0.0029097229707986116}]
[{'label': 'neutral', 'score': 0.972642183303833}, {'label': 'sadness', 'score': 0.006082518957555294}, {'label': 'anger', 'score': 0.004216646309942007}, {'label': 'annoyance', 'score': 0.0038664834573864937}, {'label': 'optimism', 'score': 0.0036853838246315718}]
[{'label': 'neutral', 'score': 0.9541050791740417}, {'label': 'sadness', 'score': 0.013358013704419136}, {'label': 'optimism', 'score': 0.0066590080969035625}, {'label': 'annoyance', 'score': 0.005975307431071997}, {'label': 'disappointment', 'score': 0.0045684450305998325}]
[{'label': 'neutral', 'score': 0.8895800113677979}, {'label': 'sadness', 'score': 0.06058133766055107}, {'label': 'disappointment', 'score': 0.00908849947154522}, {'label': 'optimism', 'score': 0.008592274971306324}, {'label': 'fear', 'score': 0.00573207950219512}]
[{'label': 'neutral', 'score': 0.8228564262390137}, {'label': 'sadness', 'score': 0.10650162398815155}, {'label': 'fear', 'score': 0.02559061534702778}, {'label': 'disappointment', 'score': 0.013564977794885635}, {'label': 'annoyance', 'score': 0.006230163853615522}]
[{'label': 'neutral', 'score': 0.7461766600608826}, {'label': 'sadness', 'score': 0.18289542198181152}, {'label': 'disappointment', 'score': 0.025885064154863358}, {'label': 'annoyance', 'score': 0.010233300738036633}, {'label': 'fear', 'score': 0.009656905196607113}]
[{'label': 'neutral', 'score': 0.8666149973869324}, {'label': 'sadness', 'score': 0.052625346928834915}, {'label': 'disappointment', 'score': 0.02419985830783844}, {'label': 'annoyance', 'score': 0.015617750585079193}, {'label': 'anger', 'score': 0.008333177305758}]
[{'label': 'neutral', 'score': 0.8106491565704346}, {'label': 'sadness', 'score': 0.07843800634145737}, {'label': 'disappointment', 'score': 0.040277086198329926}, {'label': 'anger', 'score': 0.01905025541782379}, {'label': 'annoyance', 'score': 0.018768565729260445}]
