[[{'label': 'sadness', 'score': 0.8917441964149475}, {'label': 'neutral', 'score': 0.06486320495605469}, {'label': 'disappointment', 'score': 0.015560392290353775}]]
[[{'label': 'fear', 'score': 0.5808880925178528}, {'label': 'sadness', 'score': 0.19404679536819458}, {'label': 'neutral', 'score': 0.06636568158864975}]]
[[{'label': 'sadness', 'score': 0.9301668405532837}, {'label': 'neutral', 'score': 0.025896474719047546}, {'label': 'disappointment', 'score': 0.014092863537371159}]]
[[{'label': 'sadness', 'score': 0.9187048077583313}, {'label': 'neutral', 'score': 0.03264100104570389}, {'label': 'disappointment', 'score': 0.017427532002329826}]]
[[{'label': 'sadness', 'score': 0.9527668356895447}, {'label': 'neutral', 'score': 0.025091899558901787}, {'label': 'disappointment', 'score': 0.011175809428095818}]]
[[{'label': 'sadness', 'score': 0.9143886566162109}, {'label': 'neutral', 'score': 0.04997991770505905}, {'label': 'disappointment', 'score': 0.01742730848491192}]]
[[{'label': 'sadness', 'score': 0.908068835735321}, {'label': 'neutral', 'score': 0.0520203597843647}, {'label': 'disappointment', 'score': 0.019393224269151688}]]
[[{'label': 'sadness', 'score': 0.6282864212989807}, {'label': 'neutral', 'score': 0.2043195366859436}, {'label': 'fear', 'score': 0.07299083471298218}]]
[[{'label': 'sadness', 'score': 0.7673125267028809}, {'label': 'neutral', 'score': 0.18401964008808136}, {'label': 'disappointment', 'score': 0.02048390731215477}]]
[[{'label': 'sadness', 'score': 0.7651591300964355}, {'label': 'neutral', 'score': 0.18349945545196533}, {'label': 'disappointment', 'score': 0.025497350841760635}]]
[[{'label': 'sadness', 'score': 0.7708543539047241}, {'label': 'neutral', 'score': 0.1783626228570938}, {'label': 'disappointment', 'score': 0.023715337738394737}]]
[[{'label': 'sadness', 'score': 0.7641741037368774}, {'label': 'neutral', 'score': 0.17674148082733154}, {'label': 'disappointment', 'score': 0.021997112780809402}]]
[[{'label': 'sadness', 'score': 0.7120580077171326}, {'label': 'neutral', 'score': 0.23316630721092224}, {'label': 'disappointment', 'score': 0.02009189873933792}]]
[[{'label': 'sadness', 'score': 0.7536121010780334}, {'label': 'neutral', 'score': 0.20461450517177582}, {'label': 'disappointment', 'score': 0.014125557616353035}]]
[[{'label': 'sadness', 'score': 0.9500529170036316}, {'label': 'neutral', 'score': 0.03050333634018898}, {'label': 'disappointment', 'score': 0.008523304015398026}]]
[[{'label': 'neutral', 'score': 0.40966665744781494}, {'label': 'sadness', 'score': 0.2906358242034912}, {'label': 'fear', 'score': 0.18801572918891907}]]
[[{'label': 'sadness', 'score': 0.8212237358093262}, {'label': 'neutral', 'score': 0.145743727684021}, {'label': 'disappointment', 'score': 0.01393071748316288}]]
[[{'label': 'sadness', 'score': 0.8528610467910767}, {'label': 'neutral', 'score': 0.1185489296913147}, {'label': 'disappointment', 'score': 0.011971063911914825}]]
[[{'label': 'sadness', 'score': 0.8468822836875916}, {'label': 'neutral', 'score': 0.1229170709848404}, {'label': 'disappointment', 'score': 0.01396456640213728}]]
[[{'label': 'sadness', 'score': 0.7637909650802612}, {'label': 'neutral', 'score': 0.1949879229068756}, {'label': 'disappointment', 'score': 0.021930016577243805}]]
[[{'label': 'sadness', 'score': 0.6756035089492798}, {'label': 'neutral', 'score': 0.2682463228702545}, {'label': 'disappointment', 'score': 0.035091500729322433}]]
[[{'label': 'sadness', 'score': 0.5973156690597534}, {'label': 'neutral', 'score': 0.3359515964984894}, {'label': 'disappointment', 'score': 0.0368683785200119}]]
[[{'label': 'sadness', 'score': 0.6777678728103638}, {'label': 'neutral', 'score': 0.25406089425086975}, {'label': 'disappointment', 'score': 0.034622009843587875}]]
[[{'label': 'sadness', 'score': 0.8163416981697083}, {'label': 'neutral', 'score': 0.1314014196395874}, {'label': 'disappointment', 'score': 0.02609974890947342}]]
[[{'label': 'sadness', 'score': 0.7809134125709534}, {'label': 'neutral', 'score': 0.1651250123977661}, {'label': 'disappointment', 'score': 0.025475306436419487}]]
[[{'label': 'sadness', 'score': 0.8095631003379822}, {'label': 'neutral', 'score': 0.1377144157886505}, {'label': 'disappointment', 'score': 0.026981210336089134}]]
[[{'label': 'sadness', 'score': 0.7707231640815735}, {'label': 'neutral', 'score': 0.1671629101037979}, {'label': 'disappointment', 'score': 0.03303084895014763}]]
[[{'label': 'sadness', 'score': 0.7253949046134949}, {'label': 'neutral', 'score': 0.19694718718528748}, {'label': 'disappointment', 'score': 0.04065576568245888}]]
[[{'label': 'sadness', 'score': 0.6890344023704529}, {'label': 'neutral', 'score': 0.2278076410293579}, {'label': 'disappointment', 'score': 0.04486924409866333}]]
[[{'label': 'sadness', 'score': 0.8840991854667664}, {'label': 'neutral', 'score': 0.07655072212219238}, {'label': 'disappointment', 'score': 0.013918464072048664}]]
[[{'label': 'sadness', 'score': 0.9235367178916931}, {'label': 'neutral', 'score': 0.046699147671461105}, {'label': 'disappointment', 'score': 0.013415113091468811}]]
[[{'label': 'sadness', 'score': 0.9210037589073181}, {'label': 'neutral', 'score': 0.05361173301935196}, {'label': 'disappointment', 'score': 0.013836930505931377}]]
[[{'label': 'sadness', 'score': 0.8912489414215088}, {'label': 'neutral', 'score': 0.07999956607818604}, {'label': 'disappointment', 'score': 0.015027458779513836}]]
[[{'label': 'sadness', 'score': 0.8610748052597046}, {'label': 'neutral', 'score': 0.10189955681562424}, {'label': 'disappointment', 'score': 0.02054128423333168}]]
[[{'label': 'sadness', 'score': 0.784231960773468}, {'label': 'neutral', 'score': 0.171368807554245}, {'label': 'disappointment', 'score': 0.01957419328391552}]]
[[{'label': 'sadness', 'score': 0.7867500185966492}, {'label': 'neutral', 'score': 0.16967792809009552}, {'label': 'disappointment', 'score': 0.017092369496822357}]]
[[{'label': 'sadness', 'score': 0.8759954571723938}, {'label': 'neutral', 'score': 0.08287061750888824}, {'label': 'disappointment', 'score': 0.016337992623448372}]]
[[{'label': 'sadness', 'score': 0.9513906240463257}, {'label': 'neutral', 'score': 0.022922269999980927}, {'label': 'disappointment', 'score': 0.011911257170140743}]]
[[{'label': 'sadness', 'score': 0.9524789452552795}, {'label': 'neutral', 'score': 0.021883400157094002}, {'label': 'disappointment', 'score': 0.012186480686068535}]]
[[{'label': 'sadness', 'score': 0.9611589312553406}, {'label': 'neutral', 'score': 0.018010355532169342}, {'label': 'disappointment', 'score': 0.010057698003947735}]]
[[{'label': 'sadness', 'score': 0.9314359426498413}, {'label': 'neutral', 'score': 0.03747178986668587}, {'label': 'disappointment', 'score': 0.016520986333489418}]]
[[{'label': 'sadness', 'score': 0.9397986531257629}, {'label': 'neutral', 'score': 0.03835277631878853}, {'label': 'disappointment', 'score': 0.008595564402639866}]]
[[{'label': 'sadness', 'score': 0.7698947787284851}, {'label': 'neutral', 'score': 0.18960446119308472}, {'label': 'disappointment', 'score': 0.019689755514264107}]]
[[{'label': 'neutral', 'score': 0.5821648836135864}, {'label': 'sadness', 'score': 0.3715830445289612}, {'label': 'disappointment', 'score': 0.018412668257951736}]]
[[{'label': 'neutral', 'score': 0.6896352171897888}, {'label': 'sadness', 'score': 0.27383488416671753}, {'label': 'disappointment', 'score': 0.01117013394832611}]]
[[{'label': 'neutral', 'score': 0.5299126505851746}, {'label': 'sadness', 'score': 0.4354666471481323}, {'label': 'disappointment', 'score': 0.0099691953510046}]]
