[{'label': 'neutral', 'score': 0.812856912612915}, {'label': 'surprise', 'score': 0.11989988386631012}, {'label': 'caring', 'score': 0.032059065997600555}, {'label': 'optimism', 'score': 0.010130050592124462}, {'label': 'amusement', 'score': 0.004133915062993765}]
[{'label': 'neutral', 'score': 0.8055936694145203}, {'label': 'surprise', 'score': 0.12910349667072296}, {'label': 'caring', 'score': 0.029977554455399513}, {'label': 'optimism', 'score': 0.010114067234098911}, {'label': 'amusement', 'score': 0.004212973639369011}]
[{'label': 'neutral', 'score': 0.886083722114563}, {'label': 'surprise', 'score': 0.07893161475658417}, {'label': 'amusement', 'score': 0.010264976881444454}, {'label': 'realization', 'score': 0.005490630399435759}, {'label': 'optimism', 'score': 0.005424492061138153}]
[{'label': 'neutral', 'score': 0.9356359839439392}, {'label': 'surprise', 'score': 0.027932964265346527}, {'label': 'caring', 'score': 0.008964844048023224}, {'label': 'amusement', 'score': 0.006957692094147205}, {'label': 'optimism', 'score': 0.006299097556620836}]
[{'label': 'neutral', 'score': 0.9050474762916565}, {'label': 'caring', 'score': 0.08010463416576385}, {'label': 'optimism', 'score': 0.00342029077000916}, {'label': 'annoyance', 'score': 0.002279366599395871}, {'label': 'anger', 'score': 0.0012328473385423422}]
[{'label': 'neutral', 'score': 0.8152744174003601}, {'label': 'caring', 'score': 0.17060989141464233}, {'label': 'optimism', 'score': 0.0036065042950212955}, {'label': 'annoyance', 'score': 0.002156102331355214}, {'label': 'anger', 'score': 0.0012255365727469325}]
[{'label': 'neutral', 'score': 0.7339250445365906}, {'label': 'caring', 'score': 0.2517737150192261}, {'label': 'optimism', 'score': 0.004303768277168274}, {'label': 'annoyance', 'score': 0.001496592303737998}, {'label': 'anger', 'score': 0.0011060060933232307}]
[{'label': 'neutral', 'score': 0.7587931752204895}, {'label': 'caring', 'score': 0.22761070728302002}, {'label': 'optimism', 'score': 0.004182235337793827}, {'label': 'annoyance', 'score': 0.0012711301678791642}, {'label': 'anger', 'score': 0.0009940109448507428}]
[{'label': 'neutral', 'score': 0.6735022664070129}, {'label': 'caring', 'score': 0.3094087541103363}, {'label': 'optimism', 'score': 0.005604682955890894}, {'label': 'annoyance', 'score': 0.001120333792641759}, {'label': 'anger', 'score': 0.001029481878504157}]
[{'label': 'neutral', 'score': 0.7042138576507568}, {'label': 'caring', 'score': 0.2774161398410797}, {'label': 'optimism', 'score': 0.005404064431786537}, {'label': 'annoyance', 'score': 0.0016333425883203745}, {'label': 'anger', 'score': 0.00138841662555933}]
[{'label': 'neutral', 'score': 0.6770187616348267}, {'label': 'caring', 'score': 0.2979709506034851}, {'label': 'optimism', 'score': 0.005790560506284237}, {'label': 'approval', 'score': 0.0033698934130370617}, {'label': 'amusement', 'score': 0.0022876127623021603}]
[{'label': 'neutral', 'score': 0.7732372283935547}, {'label': 'caring', 'score': 0.19833968579769135}, {'label': 'optimism', 'score': 0.006534597370773554}, {'label': 'approval', 'score': 0.006108470261096954}, {'label': 'sadness', 'score': 0.002324471715837717}]
[{'label': 'neutral', 'score': 0.7602657675743103}, {'label': 'caring', 'score': 0.21122771501541138}, {'label': 'optimism', 'score': 0.008048122748732567}, {'label': 'approval', 'score': 0.005919752176851034}, {'label': 'sadness', 'score': 0.002068345434963703}]
[{'label': 'neutral', 'score': 0.7492943406105042}, {'label': 'caring', 'score': 0.2199465036392212}, {'label': 'optimism', 'score': 0.008305543102324009}, {'label': 'approval', 'score': 0.00715789757668972}, {'label': 'sadness', 'score': 0.002202926203608513}]
[{'label': 'neutral', 'score': 0.7814145684242249}, {'label': 'caring', 'score': 0.1901184767484665}, {'label': 'optimism', 'score': 0.014244670048356056}, {'label': 'approval', 'score': 0.0021027633920311928}, {'label': 'disappointment', 'score': 0.0018910402432084084}]
[{'label': 'neutral', 'score': 0.8267994523048401}, {'label': 'caring', 'score': 0.14570096135139465}, {'label': 'optimism', 'score': 0.013788988813757896}, {'label': 'annoyance', 'score': 0.002294780919328332}, {'label': 'anger', 'score': 0.0015066501218825579}]
[{'label': 'neutral', 'score': 0.8216326236724854}, {'label': 'caring', 'score': 0.13032272458076477}, {'label': 'optimism', 'score': 0.024304360151290894}, {'label': 'surprise', 'score': 0.007788443472236395}, {'label': 'annoyance', 'score': 0.002920279512181878}]
[{'label': 'neutral', 'score': 0.8324595093727112}, {'label': 'caring', 'score': 0.10457365959882736}, {'label': 'optimism', 'score': 0.029047219082713127}, {'label': 'surprise', 'score': 0.016114680096507072}, {'label': 'annoyance', 'score': 0.0030792427714914083}]
[{'label': 'neutral', 'score': 0.836054265499115}, {'label': 'caring', 'score': 0.0858675092458725}, {'label': 'surprise', 'score': 0.02868730202317238}, {'label': 'optimism', 'score': 0.02596837840974331}, {'label': 'annoyance', 'score': 0.005328798200935125}]
[{'label': 'neutral', 'score': 0.88819420337677}, {'label': 'caring', 'score': 0.07850494980812073}, {'label': 'optimism', 'score': 0.014624280855059624}, {'label': 'surprise', 'score': 0.004744294099509716}, {'label': 'annoyance', 'score': 0.0034346873871982098}]
[{'label': 'neutral', 'score': 0.9074136018753052}, {'label': 'caring', 'score': 0.07065515965223312}, {'label': 'optimism', 'score': 0.011238109320402145}, {'label': 'annoyance', 'score': 0.0017731781117618084}, {'label': 'disappointment', 'score': 0.0014387535629794002}]
[{'label': 'neutral', 'score': 0.8995291590690613}, {'label': 'caring', 'score': 0.07850323617458344}, {'label': 'optimism', 'score': 0.011374074965715408}, {'label': 'annoyance', 'score': 0.0017364079831168056}, {'label': 'disappointment', 'score': 0.001356355263851583}]
[{'label': 'neutral', 'score': 0.8936065435409546}, {'label': 'caring', 'score': 0.09142809361219406}, {'label': 'optimism', 'score': 0.00507035618647933}, {'label': 'annoyance', 'score': 0.002989743370562792}, {'label': 'anger', 'score': 0.0011353003792464733}]
[{'label': 'neutral', 'score': 0.7179890871047974}, {'label': 'caring', 'score': 0.2474832981824875}, {'label': 'optimism', 'score': 0.018881486728787422}, {'label': 'annoyance', 'score': 0.0033098377753049135}, {'label': 'surprise', 'score': 0.0020480917301028967}]
[{'label': 'neutral', 'score': 0.9272549748420715}, {'label': 'caring', 'score': 0.029227836057543755}, {'label': 'optimism', 'score': 0.021763436496257782}, {'label': 'surprise', 'score': 0.008622096851468086}, {'label': 'annoyance', 'score': 0.00305282324552536}]
[{'label': 'neutral', 'score': 0.9201816916465759}, {'label': 'caring', 'score': 0.05321226641535759}, {'label': 'optimism', 'score': 0.016482433304190636}, {'label': 'surprise', 'score': 0.0017281953478232026}, {'label': 'annoyance', 'score': 0.0010151492897421122}]
