[{'label': 'amusement', 'score': 0.8730217218399048}, {'label': 'neutral', 'score': 0.10717795789241791}, {'label': 'joy', 'score': 0.008774914778769016}, {'label': 'sadness', 'score': 0.0027036385145038366}, {'label': 'disapproval', 'score': 0.0019073911244049668}]
[{'label': 'amusement', 'score': 0.886607825756073}, {'label': 'neutral', 'score': 0.09474070370197296}, {'label': 'joy', 'score': 0.009342456236481667}, {'label': 'sadness', 'score': 0.002202640287578106}, {'label': 'realization', 'score': 0.0016467840177938342}]
[{'label': 'amusement', 'score': 0.8611128330230713}, {'label': 'neutral', 'score': 0.11552731692790985}, {'label': 'joy', 'score': 0.010176978074014187}, {'label': 'sadness', 'score': 0.0033668573014438152}, {'label': 'realization', 'score': 0.0024545465130358934}]
[{'label': 'amusement', 'score': 0.8238329291343689}, {'label': 'neutral', 'score': 0.14456753432750702}, {'label': 'joy', 'score': 0.00968935526907444}, {'label': 'sadness', 'score': 0.006669753696769476}, {'label': 'realization', 'score': 0.0035295868292450905}]
[{'label': 'amusement', 'score': 0.8359681963920593}, {'label': 'neutral', 'score': 0.1340353786945343}, {'label': 'joy', 'score': 0.007672212086617947}, {'label': 'sadness', 'score': 0.006973746698349714}, {'label': 'realization', 'score': 0.003364716423675418}]
[{'label': 'amusement', 'score': 0.7116687893867493}, {'label': 'neutral', 'score': 0.1861286461353302}, {'label': 'love', 'score': 0.04942062869668007}, {'label': 'joy', 'score': 0.011542362160980701}, {'label': 'sadness', 'score': 0.00889644492417574}]
[{'label': 'amusement', 'score': 0.7094547152519226}, {'label': 'neutral', 'score': 0.193156436085701}, {'label': 'love', 'score': 0.04887790605425835}, {'label': 'sadness', 'score': 0.010702643543481827}, {'label': 'joy', 'score': 0.010452697053551674}]
[{'label': 'amusement', 'score': 0.3577844500541687}, {'label': 'neutral', 'score': 0.3178444504737854}, {'label': 'love', 'score': 0.23892125487327576}, {'label': 'sadness', 'score': 0.01871337927877903}, {'label': 'joy', 'score': 0.015688568353652954}]
[{'label': 'love', 'score': 0.40372008085250854}, {'label': 'neutral', 'score': 0.340476930141449}, {'label': 'amusement', 'score': 0.1607346534729004}, {'label': 'sadness', 'score': 0.02374802529811859}, {'label': 'desire', 'score': 0.016165567561984062}]
[{'label': 'neutral', 'score': 0.5311998128890991}, {'label': 'amusement', 'score': 0.387678325176239}, {'label': 'sadness', 'score': 0.02394641935825348}, {'label': 'love', 'score': 0.01603212021291256}, {'label': 'joy', 'score': 0.011980214156210423}]
[{'label': 'neutral', 'score': 0.49455884099006653}, {'label': 'amusement', 'score': 0.42790907621383667}, {'label': 'love', 'score': 0.01798420585691929}, {'label': 'sadness', 'score': 0.017409449443221092}, {'label': 'joy', 'score': 0.013588362373411655}]
[{'label': 'amusement', 'score': 0.5564164519309998}, {'label': 'neutral', 'score': 0.37536486983299255}, {'label': 'love', 'score': 0.020082291215658188}, {'label': 'joy', 'score': 0.013843693770468235}, {'label': 'sadness', 'score': 0.009743625298142433}]
[{'label': 'amusement', 'score': 0.5558872818946838}, {'label': 'neutral', 'score': 0.37918540835380554}, {'label': 'love', 'score': 0.018178395926952362}, {'label': 'joy', 'score': 0.0137345464900136}, {'label': 'sadness', 'score': 0.009692247025668621}]
[{'label': 'amusement', 'score': 0.4808501601219177}, {'label': 'neutral', 'score': 0.27183961868286133}, {'label': 'love', 'score': 0.16698451340198517}, {'label': 'joy', 'score': 0.018234815448522568}, {'label': 'desire', 'score': 0.0160922072827816}]
[{'label': 'neutral', 'score': 0.6639846563339233}, {'label': 'amusement', 'score': 0.16792364418506622}, {'label': 'love', 'score': 0.06950552016496658}, {'label': 'sadness', 'score': 0.029892096295952797}, {'label': 'joy', 'score': 0.019595917314291}]
[{'label': 'neutral', 'score': 0.738857626914978}, {'label': 'amusement', 'score': 0.17726241052150726}, {'label': 'sadness', 'score': 0.0182576235383749}, {'label': 'love', 'score': 0.01699049025774002}, {'label': 'joy', 'score': 0.015409826301038265}]
[{'label': 'neutral', 'score': 0.7702081203460693}, {'label': 'amusement', 'score': 0.16427502036094666}, {'label': 'joy', 'score': 0.01982339285314083}, {'label': 'sadness', 'score': 0.01519006211310625}, {'label': 'love', 'score': 0.007639508694410324}]
[{'label': 'neutral', 'score': 0.6989884376525879}, {'label': 'amusement', 'score': 0.23823152482509613}, {'label': 'joy', 'score': 0.023882491514086723}, {'label': 'sadness', 'score': 0.010514840483665466}, {'label': 'love', 'score': 0.006474717520177364}]
[{'label': 'neutral', 'score': 0.7881378531455994}, {'label': 'amusement', 'score': 0.14868693053722382}, {'label': 'joy', 'score': 0.0191133301705122}, {'label': 'sadness', 'score': 0.014396272599697113}, {'label': 'love', 'score': 0.007818433456122875}]
[{'label': 'neutral', 'score': 0.6008905172348022}, {'label': 'amusement', 'score': 0.3327925503253937}, {'label': 'joy', 'score': 0.01939430832862854}, {'label': 'love', 'score': 0.011242374777793884}, {'label': 'sadness', 'score': 0.009121021255850792}]
[{'label': 'neutral', 'score': 0.46765822172164917}, {'label': 'amusement', 'score': 0.4315035045146942}, {'label': 'love', 'score': 0.03736855462193489}, {'label': 'joy', 'score': 0.01801096834242344}, {'label': 'sadness', 'score': 0.011757194064557552}]
[{'label': 'neutral', 'score': 0.5312021970748901}, {'label': 'amusement', 'score': 0.31510230898857117}, {'label': 'love', 'score': 0.07564790546894073}, {'label': 'joy', 'score': 0.021838298067450523}, {'label': 'sadness', 'score': 0.015114905312657356}]
[{'label': 'neutral', 'score': 0.5437992215156555}, {'label': 'amusement', 'score': 0.24950411915779114}, {'label': 'love', 'score': 0.11937524378299713}, {'label': 'joy', 'score': 0.02604483999311924}, {'label': 'sadness', 'score': 0.015713883563876152}]
[{'label': 'love', 'score': 0.49019500613212585}, {'label': 'neutral', 'score': 0.3264913856983185}, {'label': 'amusement', 'score': 0.09634383022785187}, {'label': 'joy', 'score': 0.021767906844615936}, {'label': 'desire', 'score': 0.014029921032488346}]
[{'label': 'neutral', 'score': 0.43492674827575684}, {'label': 'love', 'score': 0.42322903871536255}, {'label': 'amusement', 'score': 0.06268133223056793}, {'label': 'desire', 'score': 0.016177205368876457}, {'label': 'joy', 'score': 0.015029124915599823}]
[{'label': 'neutral', 'score': 0.6662389039993286}, {'label': 'love', 'score': 0.2297537922859192}, {'label': 'amusement', 'score': 0.02423633448779583}, {'label': 'sadness', 'score': 0.019053403288125992}, {'label': 'desire', 'score': 0.014163748361170292}]
[{'label': 'neutral', 'score': 0.7927340865135193}, {'label': 'amusement', 'score': 0.07218509167432785}, {'label': 'love', 'score': 0.05871813744306564}, {'label': 'sadness', 'score': 0.02075374126434326}, {'label': 'desire', 'score': 0.01822362095117569}]
[{'label': 'neutral', 'score': 0.7954100966453552}, {'label': 'amusement', 'score': 0.07158755511045456}, {'label': 'love', 'score': 0.05800291895866394}, {'label': 'sadness', 'score': 0.020465146750211716}, {'label': 'desire', 'score': 0.01752491295337677}]
[{'label': 'neutral', 'score': 0.7865111827850342}, {'label': 'amusement', 'score': 0.13692791759967804}, {'label': 'love', 'score': 0.020468290895223618}, {'label': 'sadness', 'score': 0.014846580103039742}, {'label': 'desire', 'score': 0.0115925008431077}]
[{'label': 'neutral', 'score': 0.65582275390625}, {'label': 'amusement', 'score': 0.2062670886516571}, {'label': 'love', 'score': 0.058964986354112625}, {'label': 'sadness', 'score': 0.018687712028622627}, {'label': 'desire', 'score': 0.01794380508363247}]
[{'label': 'neutral', 'score': 0.5074306726455688}, {'label': 'love', 'score': 0.20930138230323792}, {'label': 'amusement', 'score': 0.19850274920463562}, {'label': 'joy', 'score': 0.017062628641724586}, {'label': 'desire', 'score': 0.017041577026247978}]
[{'label': 'love', 'score': 0.36837658286094666}, {'label': 'neutral', 'score': 0.33028730750083923}, {'label': 'amusement', 'score': 0.2227131724357605}, {'label': 'desire', 'score': 0.018165698274970055}, {'label': 'joy', 'score': 0.014407062903046608}]
[{'label': 'amusement', 'score': 0.4805704355239868}, {'label': 'neutral', 'score': 0.26032838225364685}, {'label': 'love', 'score': 0.1868104189634323}, {'label': 'desire', 'score': 0.01416543498635292}, {'label': 'joy', 'score': 0.014051184989511967}]
[{'label': 'amusement', 'score': 0.6178490519523621}, {'label': 'neutral', 'score': 0.28562673926353455}, {'label': 'love', 'score': 0.04453153535723686}, {'label': 'joy', 'score': 0.012435087002813816}, {'label': 'sadness', 'score': 0.009143508039414883}]
[{'label': 'amusement', 'score': 0.5766674280166626}, {'label': 'neutral', 'score': 0.30927348136901855}, {'label': 'love', 'score': 0.057388655841350555}, {'label': 'joy', 'score': 0.013775807805359364}, {'label': 'sadness', 'score': 0.009773548692464828}]
[{'label': 'neutral', 'score': 0.5970471501350403}, {'label': 'love', 'score': 0.15748921036720276}, {'label': 'amusement', 'score': 0.15253335237503052}, {'label': 'sadness', 'score': 0.02217385359108448}, {'label': 'desire', 'score': 0.01645674742758274}]
[{'label': 'neutral', 'score': 0.8345223665237427}, {'label': 'amusement', 'score': 0.04885817691683769}, {'label': 'love', 'score': 0.047396205365657806}, {'label': 'sadness', 'score': 0.02166101709008217}, {'label': 'desire', 'score': 0.009523670189082623}]
[{'label': 'neutral', 'score': 0.7019600868225098}, {'label': 'love', 'score': 0.1531561315059662}, {'label': 'amusement', 'score': 0.058417364954948425}, {'label': 'desire', 'score': 0.02032569982111454}, {'label': 'sadness', 'score': 0.020185507833957672}]
[{'label': 'neutral', 'score': 0.5412660837173462}, {'label': 'love', 'score': 0.32465142011642456}, {'label': 'amusement', 'score': 0.05399228259921074}, {'label': 'sadness', 'score': 0.018836311995983124}, {'label': 'desire', 'score': 0.01486424170434475}]
[{'label': 'neutral', 'score': 0.632835865020752}, {'label': 'love', 'score': 0.19826911389827728}, {'label': 'amusement', 'score': 0.08823497593402863}, {'label': 'sadness', 'score': 0.022572332993149757}, {'label': 'joy', 'score': 0.013346875086426735}]
[{'label': 'neutral', 'score': 0.574059784412384}, {'label': 'love', 'score': 0.2076425701379776}, {'label': 'amusement', 'score': 0.11955071985721588}, {'label': 'sadness', 'score': 0.03133441135287285}, {'label': 'joy', 'score': 0.016604511067271233}]
[{'label': 'neutral', 'score': 0.4002211391925812}, {'label': 'love', 'score': 0.32037606835365295}, {'label': 'amusement', 'score': 0.15263120830059052}, {'label': 'sadness', 'score': 0.04623117670416832}, {'label': 'joy', 'score': 0.01956193521618843}]
[{'label': 'neutral', 'score': 0.4715628921985626}, {'label': 'amusement', 'score': 0.26104602217674255}, {'label': 'love', 'score': 0.11703147739171982}, {'label': 'sadness', 'score': 0.07115762680768967}, {'label': 'joy', 'score': 0.018971629440784454}]
[{'label': 'neutral', 'score': 0.43711671233177185}, {'label': 'amusement', 'score': 0.2202446311712265}, {'label': 'love', 'score': 0.20326603949069977}, {'label': 'sadness', 'score': 0.054886288940906525}, {'label': 'joy', 'score': 0.01640591211616993}]
[{'label': 'love', 'score': 0.6779660582542419}, {'label': 'neutral', 'score': 0.21687796711921692}, {'label': 'desire', 'score': 0.032559070736169815}, {'label': 'amusement', 'score': 0.018984152004122734}, {'label': 'sadness', 'score': 0.014752546325325966}]
[{'label': 'love', 'score': 0.6114359498023987}, {'label': 'neutral', 'score': 0.2540660798549652}, {'label': 'desire', 'score': 0.06023593246936798}, {'label': 'amusement', 'score': 0.02376093529164791}, {'label': 'joy', 'score': 0.009971578605473042}]
[{'label': 'love', 'score': 0.5418752431869507}, {'label': 'neutral', 'score': 0.3106507658958435}, {'label': 'desire', 'score': 0.06835462152957916}, {'label': 'amusement', 'score': 0.022265600040555}, {'label': 'joy', 'score': 0.011640285141766071}]
[{'label': 'love', 'score': 0.6525639891624451}, {'label': 'neutral', 'score': 0.2530636489391327}, {'label': 'desire', 'score': 0.03115379437804222}, {'label': 'amusement', 'score': 0.01721765659749508}, {'label': 'joy', 'score': 0.010444000363349915}]
[{'label': 'love', 'score': 0.7525800466537476}, {'label': 'neutral', 'score': 0.16071860492229462}, {'label': 'desire', 'score': 0.025125309824943542}, {'label': 'amusement', 'score': 0.02439938113093376}, {'label': 'joy', 'score': 0.012808656319975853}]
[{'label': 'love', 'score': 0.7952874302864075}, {'label': 'neutral', 'score': 0.11022288352251053}, {'label': 'amusement', 'score': 0.04031289741396904}, {'label': 'desire', 'score': 0.01730552688241005}, {'label': 'joy', 'score': 0.016523046419024467}]
[{'label': 'love', 'score': 0.7639883160591125}, {'label': 'neutral', 'score': 0.10824396461248398}, {'label': 'amusement', 'score': 0.05829017609357834}, {'label': 'desire', 'score': 0.02538548782467842}, {'label': 'joy', 'score': 0.016792025417089462}]
[{'label': 'love', 'score': 0.6199328303337097}, {'label': 'neutral', 'score': 0.20794658362865448}, {'label': 'amusement', 'score': 0.07259001582860947}, {'label': 'desire', 'score': 0.03650739789009094}, {'label': 'joy', 'score': 0.02009347267448902}]
[{'label': 'neutral', 'score': 0.5999813079833984}, {'label': 'amusement', 'score': 0.23016943037509918}, {'label': 'love', 'score': 0.0828322246670723}, {'label': 'joy', 'score': 0.02341386117041111}, {'label': 'desire', 'score': 0.019205991178750992}]
[{'label': 'neutral', 'score': 0.5842546820640564}, {'label': 'amusement', 'score': 0.2362731546163559}, {'label': 'love', 'score': 0.08999581634998322}, {'label': 'joy', 'score': 0.0229675080627203}, {'label': 'desire', 'score': 0.02066248655319214}]
[{'label': 'neutral', 'score': 0.42540809512138367}, {'label': 'love', 'score': 0.25234803557395935}, {'label': 'amusement', 'score': 0.1656542718410492}, {'label': 'desire', 'score': 0.07355275005102158}, {'label': 'sadness', 'score': 0.023970169946551323}]
[{'label': 'neutral', 'score': 0.399885356426239}, {'label': 'love', 'score': 0.31576237082481384}, {'label': 'desire', 'score': 0.10803798586130142}, {'label': 'amusement', 'score': 0.10370992124080658}, {'label': 'sadness', 'score': 0.016349414363503456}]
[{'label': 'love', 'score': 0.413703590631485}, {'label': 'neutral', 'score': 0.3491133153438568}, {'label': 'amusement', 'score': 0.10617370903491974}, {'label': 'desire', 'score': 0.06633730232715607}, {'label': 'joy', 'score': 0.017848188057541847}]
[{'label': 'neutral', 'score': 0.48178696632385254}, {'label': 'amusement', 'score': 0.3583414554595947}, {'label': 'love', 'score': 0.07537684589624405}, {'label': 'sadness', 'score': 0.019336272031068802}, {'label': 'joy', 'score': 0.01920332945883274}]
[{'label': 'neutral', 'score': 0.5794300436973572}, {'label': 'amusement', 'score': 0.3207661807537079}, {'label': 'love', 'score': 0.023660529404878616}, {'label': 'sadness', 'score': 0.022283168509602547}, {'label': 'joy', 'score': 0.016783729195594788}]
[{'label': 'amusement', 'score': 0.5949882864952087}, {'label': 'neutral', 'score': 0.37099581956863403}, {'label': 'joy', 'score': 0.011410986073315144}, {'label': 'sadness', 'score': 0.006124685984104872}, {'label': 'realization', 'score': 0.002278843428939581}]
[{'label': 'neutral', 'score': 0.4901876151561737}, {'label': 'amusement', 'score': 0.43769705295562744}, {'label': 'sadness', 'score': 0.01953558623790741}, {'label': 'joy', 'score': 0.009625565260648727}, {'label': 'love', 'score': 0.008258961141109467}]
