[{'label': 'fear', 'score': 0.9938428401947021}, {'label': 'neutral', 'score': 0.00176040839869529}, {'label': 'nervousness', 'score': 0.0009399746195413172}, {'label': 'approval', 'score': 0.0005978410481475294}, {'label': 'caring', 'score': 0.00045154811232350767}]
[{'label': 'fear', 'score': 0.7132212519645691}, {'label': 'neutral', 'score': 0.21260102093219757}, {'label': 'caring', 'score': 0.03108493983745575}, {'label': 'approval', 'score': 0.009633437730371952}, {'label': 'optimism', 'score': 0.006788151804357767}]
[{'label': 'fear', 'score': 0.9439327120780945}, {'label': 'neutral', 'score': 0.030246099457144737}, {'label': 'approval', 'score': 0.004597325809299946}, {'label': 'optimism', 'score': 0.004472002387046814}, {'label': 'nervousness', 'score': 0.0025823432952165604}]
[{'label': 'fear', 'score': 0.9333091974258423}, {'label': 'neutral', 'score': 0.027740100398659706}, {'label': 'optimism', 'score': 0.008389403112232685}, {'label': 'approval', 'score': 0.004205678123980761}, {'label': 'surprise', 'score': 0.003959913272410631}]
[{'label': 'fear', 'score': 0.9908841252326965}, {'label': 'neutral', 'score': 0.002438034862279892}, {'label': 'approval', 'score': 0.0017912723124027252}, {'label': 'nervousness', 'score': 0.0012692094314843416}, {'label': 'caring', 'score': 0.0004559385997708887}]
[{'label': 'fear', 'score': 0.987043023109436}, {'label': 'approval', 'score': 0.004908059723675251}, {'label': 'nervousness', 'score': 0.0030218884348869324}, {'label': 'neutral', 'score': 0.002109227702021599}, {'label': 'optimism', 'score': 0.00031602574745193124}]
[{'label': 'fear', 'score': 0.9950001239776611}, {'label': 'nervousness', 'score': 0.0015038851415738463}, {'label': 'approval', 'score': 0.0010141119128093123}, {'label': 'neutral', 'score': 0.0007017858442850411}, {'label': 'caring', 'score': 0.0002207539655501023}]
[{'label': 'fear', 'score': 0.9944656491279602}, {'label': 'nervousness', 'score': 0.0018790584290400147}, {'label': 'approval', 'score': 0.001225164975039661}, {'label': 'neutral', 'score': 0.0006493102409876883}, {'label': 'caring', 'score': 0.00020942917035426944}]
[{'label': 'fear', 'score': 0.991852343082428}, {'label': 'nervousness', 'score': 0.0018025939352810383}, {'label': 'approval', 'score': 0.0017772758146747947}, {'label': 'neutral', 'score': 0.0016985801048576832}, {'label': 'caring', 'score': 0.0006967774825170636}]
[{'label': 'fear', 'score': 0.989910900592804}, {'label': 'nervousness', 'score': 0.0027056748513132334}, {'label': 'neutral', 'score': 0.0019516886677592993}, {'label': 'approval', 'score': 0.001911378582008183}, {'label': 'caring', 'score': 0.0007483278168365359}]
[{'label': 'fear', 'score': 0.9908736944198608}, {'label': 'nervousness', 'score': 0.002782021416351199}, {'label': 'neutral', 'score': 0.0012817789101973176}, {'label': 'approval', 'score': 0.0012582476483657956}, {'label': 'caring', 'score': 0.0005884927813895047}]
[{'label': 'fear', 'score': 0.9737300872802734}, {'label': 'neutral', 'score': 0.005828659050166607}, {'label': 'nervousness', 'score': 0.004398465156555176}, {'label': 'surprise', 'score': 0.0033968971110880375}, {'label': 'optimism', 'score': 0.0026986063458025455}]
[{'label': 'fear', 'score': 0.9564093351364136}, {'label': 'neutral', 'score': 0.015464138239622116}, {'label': 'surprise', 'score': 0.0077980863861739635}, {'label': 'nervousness', 'score': 0.00445152260363102}, {'label': 'optimism', 'score': 0.003112990874797106}]
[{'label': 'fear', 'score': 0.985878586769104}, {'label': 'neutral', 'score': 0.0051679471507668495}, {'label': 'sadness', 'score': 0.0021006043534725904}, {'label': 'disappointment', 'score': 0.0011576226679608226}, {'label': 'nervousness', 'score': 0.001062352443113923}]
[{'label': 'fear', 'score': 0.9948650002479553}, {'label': 'neutral', 'score': 0.0013049290282651782}, {'label': 'nervousness', 'score': 0.0010130516020581126}, {'label': 'sadness', 'score': 0.000556419079657644}, {'label': 'disappointment', 'score': 0.00038517313078045845}]
[{'label': 'fear', 'score': 0.9904536008834839}, {'label': 'neutral', 'score': 0.004389811772853136}, {'label': 'nervousness', 'score': 0.0014034360647201538}, {'label': 'approval', 'score': 0.0008361217333003879}, {'label': 'sadness', 'score': 0.0006547871162183583}]
[{'label': 'fear', 'score': 0.9939329028129578}, {'label': 'neutral', 'score': 0.002486692974343896}, {'label': 'nervousness', 'score': 0.0011801393702626228}, {'label': 'approval', 'score': 0.0004916939651593566}, {'label': 'sadness', 'score': 0.0003020907170139253}]
[{'label': 'fear', 'score': 0.9031547904014587}, {'label': 'neutral', 'score': 0.07562857866287231}, {'label': 'sadness', 'score': 0.005135746207088232}, {'label': 'approval', 'score': 0.0037120329216122627}, {'label': 'nervousness', 'score': 0.003242350881919265}]
[{'label': 'fear', 'score': 0.6286066174507141}, {'label': 'neutral', 'score': 0.32559239864349365}, {'label': 'sadness', 'score': 0.015328469686210155}, {'label': 'approval', 'score': 0.0057892329059541225}, {'label': 'disappointment', 'score': 0.004687188658863306}]
[{'label': 'fear', 'score': 0.6399039030075073}, {'label': 'neutral', 'score': 0.31853869557380676}, {'label': 'sadness', 'score': 0.013515811413526535}, {'label': 'approval', 'score': 0.004810723941773176}, {'label': 'disappointment', 'score': 0.004553479142487049}]
[{'label': 'fear', 'score': 0.4780876934528351}, {'label': 'disappointment', 'score': 0.3353830873966217}, {'label': 'neutral', 'score': 0.09936095774173737}, {'label': 'sadness', 'score': 0.03439569100737572}, {'label': 'surprise', 'score': 0.013353764079511166}]
[{'label': 'fear', 'score': 0.809370756149292}, {'label': 'disappointment', 'score': 0.09002189338207245}, {'label': 'neutral', 'score': 0.043339017778635025}, {'label': 'sadness', 'score': 0.023564355447888374}, {'label': 'disgust', 'score': 0.007036351598799229}]
[{'label': 'fear', 'score': 0.9040829539299011}, {'label': 'neutral', 'score': 0.034746743738651276}, {'label': 'disappointment', 'score': 0.02510710433125496}, {'label': 'sadness', 'score': 0.01634376309812069}, {'label': 'nervousness', 'score': 0.003837024327367544}]
[{'label': 'fear', 'score': 0.9749510884284973}, {'label': 'neutral', 'score': 0.013142628595232964}, {'label': 'disappointment', 'score': 0.002645056927576661}, {'label': 'nervousness', 'score': 0.0021672076545655727}, {'label': 'sadness', 'score': 0.0017725755460560322}]
[{'label': 'fear', 'score': 0.9785657525062561}, {'label': 'neutral', 'score': 0.011044349521398544}, {'label': 'disappointment', 'score': 0.0020105154253542423}, {'label': 'nervousness', 'score': 0.001854922971688211}, {'label': 'sadness', 'score': 0.0013998703798279166}]
[{'label': 'fear', 'score': 0.9899424314498901}, {'label': 'nervousness', 'score': 0.002992419060319662}, {'label': 'neutral', 'score': 0.0025626574642956257}, {'label': 'approval', 'score': 0.0010091308504343033}, {'label': 'caring', 'score': 0.0006017772830091417}]
[{'label': 'fear', 'score': 0.9903772473335266}, {'label': 'nervousness', 'score': 0.0030589152593165636}, {'label': 'disappointment', 'score': 0.0015705726109445095}, {'label': 'neutral', 'score': 0.0015385966980829835}, {'label': 'sadness', 'score': 0.0009609555709175766}]
[{'label': 'fear', 'score': 0.993443489074707}, {'label': 'nervousness', 'score': 0.002199894515797496}, {'label': 'disappointment', 'score': 0.0008632326498627663}, {'label': 'neutral', 'score': 0.0007923326920717955}, {'label': 'sadness', 'score': 0.0006496996502391994}]
