[{'label': 'sadness', 'score': 0.9200335144996643}, {'label': 'disappointment', 'score': 0.04467884078621864}, {'label': 'anger', 'score': 0.0121521120890975}, {'label': 'neutral', 'score': 0.010963325388729572}, {'label': 'annoyance', 'score': 0.004911137744784355}]
[{'label': 'sadness', 'score': 0.9733698964118958}, {'label': 'disappointment', 'score': 0.01937858760356903}, {'label': 'neutral', 'score': 0.0021506797056645155}, {'label': 'anger', 'score': 0.0010216381633654237}, {'label': 'annoyance', 'score': 0.0007021984201855958}]
[{'label': 'sadness', 'score': 0.9763565063476562}, {'label': 'disappointment', 'score': 0.014028138481080532}, {'label': 'neutral', 'score': 0.0041845072992146015}, {'label': 'anger', 'score': 0.001203486928716302}, {'label': 'grief', 'score': 0.0007610251777805388}]
[{'label': 'sadness', 'score': 0.9747396111488342}, {'label': 'disappointment', 'score': 0.015058251097798347}, {'label': 'neutral', 'score': 0.00421098293736577}, {'label': 'anger', 'score': 0.001529932371340692}, {'label': 'grief', 'score': 0.0009072163957171142}]
[{'label': 'sadness', 'score': 0.9756373763084412}, {'label': 'disappointment', 'score': 0.012772312387824059}, {'label': 'neutral', 'score': 0.005533120129257441}, {'label': 'anger', 'score': 0.0012691229349002242}, {'label': 'grief', 'score': 0.001006168662570417}]
[{'label': 'sadness', 'score': 0.9649348258972168}, {'label': 'disappointment', 'score': 0.016428280621767044}, {'label': 'neutral', 'score': 0.007081393618136644}, {'label': 'anger', 'score': 0.004548120778053999}, {'label': 'grief', 'score': 0.0015321241226047277}]
[{'label': 'sadness', 'score': 0.9582433700561523}, {'label': 'neutral', 'score': 0.01427558995783329}, {'label': 'disappointment', 'score': 0.011990373022854328}, {'label': 'anger', 'score': 0.005608424544334412}, {'label': 'annoyance', 'score': 0.0022212062031030655}]
[{'label': 'sadness', 'score': 0.914326548576355}, {'label': 'anger', 'score': 0.0302147027105093}, {'label': 'disappointment', 'score': 0.023209819570183754}, {'label': 'neutral', 'score': 0.018476832658052444}, {'label': 'annoyance', 'score': 0.0031167424749583006}]
[{'label': 'sadness', 'score': 0.8985946178436279}, {'label': 'neutral', 'score': 0.03050207532942295}, {'label': 'disappointment', 'score': 0.02904442511498928}, {'label': 'anger', 'score': 0.026734450832009315}, {'label': 'annoyance', 'score': 0.005247221793979406}]
[{'label': 'sadness', 'score': 0.904136061668396}, {'label': 'disappointment', 'score': 0.03296547383069992}, {'label': 'neutral', 'score': 0.025302547961473465}, {'label': 'anger', 'score': 0.022069383412599564}, {'label': 'annoyance', 'score': 0.00685374578461051}]
[{'label': 'sadness', 'score': 0.9364935159683228}, {'label': 'disappointment', 'score': 0.024156318977475166}, {'label': 'neutral', 'score': 0.02232096903026104}, {'label': 'anger', 'score': 0.007249048911035061}, {'label': 'annoyance', 'score': 0.0034530251286923885}]
[{'label': 'sadness', 'score': 0.9520613551139832}, {'label': 'neutral', 'score': 0.022814534604549408}, {'label': 'disappointment', 'score': 0.012326053343713284}, {'label': 'anger', 'score': 0.004129830747842789}, {'label': 'annoyance', 'score': 0.0016927276737987995}]
[{'label': 'sadness', 'score': 0.9522424936294556}, {'label': 'neutral', 'score': 0.023406067863106728}, {'label': 'disappointment', 'score': 0.010602510534226894}, {'label': 'anger', 'score': 0.0038510411977767944}, {'label': 'caring', 'score': 0.0021719811484217644}]
