[{'label': 'neutral', 'score': 0.846761167049408}, {'label': 'sadness', 'score': 0.09588176757097244}, {'label': 'caring', 'score': 0.014379749074578285}, {'label': 'optimism', 'score': 0.012408928945660591}, {'label': 'remorse', 'score': 0.006447270512580872}]
[{'label': 'neutral', 'score': 0.6979939341545105}, {'label': 'sadness', 'score': 0.2338266670703888}, {'label': 'caring', 'score': 0.019623883068561554}, {'label': 'disappointment', 'score': 0.008900066837668419}, {'label': 'desire', 'score': 0.006689724046736956}]
[{'label': 'neutral', 'score': 0.9024780988693237}, {'label': 'joy', 'score': 0.02569674886763096}, {'label': 'sadness', 'score': 0.024662896990776062}, {'label': 'caring', 'score': 0.019275693222880363}, {'label': 'approval', 'score': 0.006049856543540955}]
[{'label': 'neutral', 'score': 0.8429440259933472}, {'label': 'sadness', 'score': 0.09099837392568588}, {'label': 'caring', 'score': 0.026216721162199974}, {'label': 'joy', 'score': 0.009179262444376945}, {'label': 'disappointment', 'score': 0.005478250328451395}]
[{'label': 'neutral', 'score': 0.8053673505783081}, {'label': 'sadness', 'score': 0.15053525567054749}, {'label': 'caring', 'score': 0.011864427477121353}, {'label': 'disappointment', 'score': 0.0066437264904379845}, {'label': 'optimism', 'score': 0.00459246663376689}]
[{'label': 'neutral', 'score': 0.8042643070220947}, {'label': 'sadness', 'score': 0.1462399810552597}, {'label': 'caring', 'score': 0.011029722169041634}, {'label': 'disappointment', 'score': 0.007221134379506111}, {'label': 'optimism', 'score': 0.0059516699984669685}]
[{'label': 'neutral', 'score': 0.8062852025032043}, {'label': 'sadness', 'score': 0.14339208602905273}, {'label': 'caring', 'score': 0.011291150003671646}, {'label': 'disappointment', 'score': 0.007049378007650375}, {'label': 'optimism', 'score': 0.006185753270983696}]
[{'label': 'neutral', 'score': 0.9371174573898315}, {'label': 'sadness', 'score': 0.017134130001068115}, {'label': 'caring', 'score': 0.014268288388848305}, {'label': 'joy', 'score': 0.010302376002073288}, {'label': 'optimism', 'score': 0.00471164146438241}]
[{'label': 'neutral', 'score': 0.9394814372062683}, {'label': 'sadness', 'score': 0.020309899002313614}, {'label': 'caring', 'score': 0.010769563727080822}, {'label': 'optimism', 'score': 0.008365515619516373}, {'label': 'disappointment', 'score': 0.003997289575636387}]
[{'label': 'neutral', 'score': 0.9362112283706665}, {'label': 'sadness', 'score': 0.024608824402093887}, {'label': 'caring', 'score': 0.010182577185332775}, {'label': 'optimism', 'score': 0.00818481482565403}, {'label': 'disappointment', 'score': 0.0037097588647156954}]
[{'label': 'neutral', 'score': 0.8899449110031128}, {'label': 'sadness', 'score': 0.055557046085596085}, {'label': 'caring', 'score': 0.011022686958312988}, {'label': 'optimism', 'score': 0.010909386910498142}, {'label': 'fear', 'score': 0.008595502935349941}]
[{'label': 'neutral', 'score': 0.8781067132949829}, {'label': 'sadness', 'score': 0.05290929228067398}, {'label': 'caring', 'score': 0.023727620020508766}, {'label': 'fear', 'score': 0.014261576347053051}, {'label': 'optimism', 'score': 0.009359287098050117}]
[{'label': 'neutral', 'score': 0.90421062707901}, {'label': 'sadness', 'score': 0.04770727455615997}, {'label': 'caring', 'score': 0.010691114701330662}, {'label': 'fear', 'score': 0.008187537081539631}, {'label': 'optimism', 'score': 0.007227789144963026}]
[{'label': 'neutral', 'score': 0.9421509504318237}, {'label': 'sadness', 'score': 0.0198910403996706}, {'label': 'optimism', 'score': 0.007993170991539955}, {'label': 'caring', 'score': 0.006872716825455427}, {'label': 'joy', 'score': 0.003963296767324209}]
