[{'label': 'fear', 'score': 0.39768972992897034}, {'label': 'realization', 'score': 0.3802420198917389}, {'label': 'approval', 'score': 0.13116179406642914}, {'label': 'neutral', 'score': 0.02718631736934185}, {'label': 'optimism', 'score': 0.013111941516399384}]
[{'label': 'fear', 'score': 0.4626189172267914}, {'label': 'realization', 'score': 0.37302538752555847}, {'label': 'approval', 'score': 0.09356169402599335}, {'label': 'neutral', 'score': 0.012186714448034763}, {'label': 'optimism', 'score': 0.011459160596132278}]
[{'label': 'fear', 'score': 0.3170281946659088}, {'label': 'approval', 'score': 0.31123867630958557}, {'label': 'realization', 'score': 0.18709640204906464}, {'label': 'admiration', 'score': 0.04965583235025406}, {'label': 'optimism', 'score': 0.042415667325258255}]
[{'label': 'fear', 'score': 0.35004132986068726}, {'label': 'approval', 'score': 0.2908279299736023}, {'label': 'admiration', 'score': 0.11241434514522552}, {'label': 'realization', 'score': 0.10093831270933151}, {'label': 'optimism', 'score': 0.04538998752832413}]
[{'label': 'fear', 'score': 0.5520581007003784}, {'label': 'approval', 'score': 0.2857723534107208}, {'label': 'admiration', 'score': 0.045661039650440216}, {'label': 'realization', 'score': 0.029859861359000206}, {'label': 'optimism', 'score': 0.0213434100151062}]
[{'label': 'fear', 'score': 0.9037700891494751}, {'label': 'approval', 'score': 0.060499660670757294}, {'label': 'optimism', 'score': 0.005749787203967571}, {'label': 'neutral', 'score': 0.00559076527133584}, {'label': 'realization', 'score': 0.0030798795633018017}]
[{'label': 'fear', 'score': 0.9341812133789062}, {'label': 'approval', 'score': 0.03269422426819801}, {'label': 'neutral', 'score': 0.007549157831817865}, {'label': 'nervousness', 'score': 0.002960996003821492}, {'label': 'optimism', 'score': 0.002764238743111491}]
[{'label': 'fear', 'score': 0.8738301992416382}, {'label': 'approval', 'score': 0.08677884936332703}, {'label': 'optimism', 'score': 0.006540950387716293}, {'label': 'neutral', 'score': 0.005448456387966871}, {'label': 'realization', 'score': 0.003515631193295121}]
[{'label': 'fear', 'score': 0.508722722530365}, {'label': 'approval', 'score': 0.3601725995540619}, {'label': 'neutral', 'score': 0.027788814157247543}, {'label': 'realization', 'score': 0.021758174523711205}, {'label': 'confusion', 'score': 0.011789219453930855}]
[{'label': 'fear', 'score': 0.8392745852470398}, {'label': 'approval', 'score': 0.08736765384674072}, {'label': 'realization', 'score': 0.010181608609855175}, {'label': 'neutral', 'score': 0.009659023024141788}, {'label': 'confusion', 'score': 0.009212029166519642}]
[{'label': 'fear', 'score': 0.9876289367675781}, {'label': 'approval', 'score': 0.0032359175384044647}, {'label': 'disgust', 'score': 0.0019338022684678435}, {'label': 'disapproval', 'score': 0.001359981601126492}, {'label': 'disappointment', 'score': 0.0008360226638615131}]
[{'label': 'fear', 'score': 0.9323626756668091}, {'label': 'approval', 'score': 0.027056289836764336}, {'label': 'disapproval', 'score': 0.012016656808555126}, {'label': 'disgust', 'score': 0.007940215989947319}, {'label': 'admiration', 'score': 0.004496794193983078}]
[{'label': 'fear', 'score': 0.8740426898002625}, {'label': 'approval', 'score': 0.050132617354393005}, {'label': 'disapproval', 'score': 0.02241157740354538}, {'label': 'admiration', 'score': 0.012804458849132061}, {'label': 'disgust', 'score': 0.011813261546194553}]
[{'label': 'fear', 'score': 0.8960291743278503}, {'label': 'approval', 'score': 0.04653366655111313}, {'label': 'disapproval', 'score': 0.011930471286177635}, {'label': 'disgust', 'score': 0.010711057111620903}, {'label': 'admiration', 'score': 0.007263299077749252}]
[{'label': 'fear', 'score': 0.9090257883071899}, {'label': 'approval', 'score': 0.030874578282237053}, {'label': 'disgust', 'score': 0.012615096755325794}, {'label': 'disapproval', 'score': 0.009815815836191177}, {'label': 'disappointment', 'score': 0.006522911135107279}]
[{'label': 'fear', 'score': 0.8836382031440735}, {'label': 'approval', 'score': 0.04274841025471687}, {'label': 'disgust', 'score': 0.013718187808990479}, {'label': 'disapproval', 'score': 0.011618965305387974}, {'label': 'realization', 'score': 0.007582108024507761}]
[{'label': 'fear', 'score': 0.9095879793167114}, {'label': 'approval', 'score': 0.03570472076535225}, {'label': 'disgust', 'score': 0.015113836154341698}, {'label': 'disapproval', 'score': 0.012420043349266052}, {'label': 'admiration', 'score': 0.0064549255184829235}]
[{'label': 'fear', 'score': 0.7973564863204956}, {'label': 'approval', 'score': 0.10840637236833572}, {'label': 'admiration', 'score': 0.025186847895383835}, {'label': 'disapproval', 'score': 0.017003199085593224}, {'label': 'disgust', 'score': 0.012458671815693378}]
[{'label': 'approval', 'score': 0.3544524610042572}, {'label': 'fear', 'score': 0.3478676676750183}, {'label': 'admiration', 'score': 0.17060576379299164}, {'label': 'disapproval', 'score': 0.035176973789930344}, {'label': 'disgust', 'score': 0.016812464222311974}]
[{'label': 'admiration', 'score': 0.5180739164352417}, {'label': 'approval', 'score': 0.3390445411205292}, {'label': 'fear', 'score': 0.05883403867483139}, {'label': 'disapproval', 'score': 0.02387850545346737}, {'label': 'neutral', 'score': 0.008996404707431793}]
[{'label': 'admiration', 'score': 0.7130862474441528}, {'label': 'approval', 'score': 0.22576496005058289}, {'label': 'disapproval', 'score': 0.01456489972770214}, {'label': 'fear', 'score': 0.012534030713140965}, {'label': 'neutral', 'score': 0.00636413786560297}]
[{'label': 'admiration', 'score': 0.7276908159255981}, {'label': 'approval', 'score': 0.2097531110048294}, {'label': 'fear', 'score': 0.017003074288368225}, {'label': 'disapproval', 'score': 0.01412347424775362}, {'label': 'neutral', 'score': 0.005547236185520887}]
[{'label': 'admiration', 'score': 0.46911314129829407}, {'label': 'approval', 'score': 0.3377825617790222}, {'label': 'fear', 'score': 0.10018233209848404}, {'label': 'disapproval', 'score': 0.016556594520807266}, {'label': 'realization', 'score': 0.014166523702442646}]
[{'label': 'admiration', 'score': 0.5639975070953369}, {'label': 'approval', 'score': 0.29247236251831055}, {'label': 'fear', 'score': 0.062650166451931}, {'label': 'disapproval', 'score': 0.01562773808836937}, {'label': 'realization', 'score': 0.011186746880412102}]
[{'label': 'admiration', 'score': 0.5159735083580017}, {'label': 'approval', 'score': 0.2210364192724228}, {'label': 'fear', 'score': 0.07909775525331497}, {'label': 'realization', 'score': 0.05661021173000336}, {'label': 'surprise', 'score': 0.04932470992207527}]
[{'label': 'fear', 'score': 0.3880603611469269}, {'label': 'approval', 'score': 0.17965565621852875}, {'label': 'admiration', 'score': 0.12491151690483093}, {'label': 'surprise', 'score': 0.10974059998989105}, {'label': 'realization', 'score': 0.10083840042352676}]
[{'label': 'fear', 'score': 0.9228804707527161}, {'label': 'realization', 'score': 0.015984799712896347}, {'label': 'surprise', 'score': 0.015345831401646137}, {'label': 'approval', 'score': 0.011203163303434849}, {'label': 'disgust', 'score': 0.008047176524996758}]
[{'label': 'fear', 'score': 0.9909912347793579}, {'label': 'disgust', 'score': 0.004151822999119759}, {'label': 'nervousness', 'score': 0.0008342101355083287}, {'label': 'sadness', 'score': 0.0007250062189996243}, {'label': 'disappointment', 'score': 0.0006019631400704384}]
[{'label': 'fear', 'score': 0.9847086668014526}, {'label': 'disgust', 'score': 0.00774263683706522}, {'label': 'approval', 'score': 0.0011159742716699839}, {'label': 'neutral', 'score': 0.0011022351682186127}, {'label': 'sadness', 'score': 0.001046690042130649}]
[{'label': 'fear', 'score': 0.9844873547554016}, {'label': 'disgust', 'score': 0.005548969842493534}, {'label': 'neutral', 'score': 0.0022693988867104053}, {'label': 'approval', 'score': 0.001627945457585156}, {'label': 'sadness', 'score': 0.0012115839635953307}]
[{'label': 'fear', 'score': 0.9853702783584595}, {'label': 'disgust', 'score': 0.004206377547234297}, {'label': 'neutral', 'score': 0.002283235779032111}, {'label': 'approval', 'score': 0.0017629989888519049}, {'label': 'sadness', 'score': 0.0012644364032894373}]
[{'label': 'fear', 'score': 0.9861052632331848}, {'label': 'disgust', 'score': 0.004914380144327879}, {'label': 'neutral', 'score': 0.0020979621913284063}, {'label': 'approval', 'score': 0.0014082228299230337}, {'label': 'nervousness', 'score': 0.0010347641073167324}]
[{'label': 'fear', 'score': 0.9672731757164001}, {'label': 'neutral', 'score': 0.006925121881067753}, {'label': 'realization', 'score': 0.004694265313446522}, {'label': 'approval', 'score': 0.0036725662648677826}, {'label': 'disappointment', 'score': 0.003585490630939603}]
[{'label': 'fear', 'score': 0.7337049841880798}, {'label': 'realization', 'score': 0.16669142246246338}, {'label': 'neutral', 'score': 0.027755850926041603}, {'label': 'approval', 'score': 0.0178077332675457}, {'label': 'surprise', 'score': 0.014836711809039116}]
[{'label': 'realization', 'score': 0.7435483336448669}, {'label': 'fear', 'score': 0.15938295423984528}, {'label': 'surprise', 'score': 0.03427067771553993}, {'label': 'approval', 'score': 0.0160992294549942}, {'label': 'neutral', 'score': 0.015481362119317055}]
[{'label': 'realization', 'score': 0.7668845653533936}, {'label': 'fear', 'score': 0.11377895623445511}, {'label': 'surprise', 'score': 0.07245929539203644}, {'label': 'approval', 'score': 0.010859592817723751}, {'label': 'neutral', 'score': 0.008910144679248333}]
[{'label': 'realization', 'score': 0.5301021337509155}, {'label': 'fear', 'score': 0.29445093870162964}, {'label': 'surprise', 'score': 0.09567241370677948}, {'label': 'approval', 'score': 0.02916620299220085}, {'label': 'optimism', 'score': 0.009587638080120087}]
[{'label': 'realization', 'score': 0.3883196711540222}, {'label': 'fear', 'score': 0.36970648169517517}, {'label': 'surprise', 'score': 0.134954571723938}, {'label': 'approval', 'score': 0.04254075139760971}, {'label': 'optimism', 'score': 0.011587627232074738}]
[{'label': 'fear', 'score': 0.7711306214332581}, {'label': 'surprise', 'score': 0.08089961111545563}, {'label': 'realization', 'score': 0.07859182357788086}, {'label': 'approval', 'score': 0.01365636195987463}, {'label': 'neutral', 'score': 0.01232017483562231}]
[{'label': 'fear', 'score': 0.9300686120986938}, {'label': 'disgust', 'score': 0.015097120776772499}, {'label': 'approval', 'score': 0.012056039646267891}, {'label': 'neutral', 'score': 0.010782000608742237}, {'label': 'realization', 'score': 0.006079537328332663}]
[{'label': 'fear', 'score': 0.8992364406585693}, {'label': 'disgust', 'score': 0.031362272799015045}, {'label': 'approval', 'score': 0.02098606899380684}, {'label': 'neutral', 'score': 0.01346598844975233}, {'label': 'realization', 'score': 0.004984892439097166}]
[{'label': 'fear', 'score': 0.8255565166473389}, {'label': 'neutral', 'score': 0.05354174226522446}, {'label': 'disgust', 'score': 0.022397596389055252}, {'label': 'approval', 'score': 0.021589208394289017}, {'label': 'confusion', 'score': 0.017970995977520943}]
