[{'label': 'remorse', 'score': 0.3367615342140198}, {'label': 'sadness', 'score': 0.21818599104881287}, {'label': 'grief', 'score': 0.15338227152824402}, {'label': 'caring', 'score': 0.09675418585538864}, {'label': 'fear', 'score': 0.053386837244033813}]
[{'label': 'sadness', 'score': 0.31653133034706116}, {'label': 'remorse', 'score': 0.3108562231063843}, {'label': 'fear', 'score': 0.0987701416015625}, {'label': 'grief', 'score': 0.07732822000980377}, {'label': 'confusion', 'score': 0.054688528180122375}]
[{'label': 'sadness', 'score': 0.2872587740421295}, {'label': 'fear', 'score': 0.2223552018404007}, {'label': 'remorse', 'score': 0.2137054055929184}, {'label': 'confusion', 'score': 0.051164157688617706}, {'label': 'grief', 'score': 0.04939141869544983}]
[{'label': 'surprise', 'score': 0.622806191444397}, {'label': 'sadness', 'score': 0.09434647858142853}, {'label': 'fear', 'score': 0.07679121941328049}, {'label': 'disappointment', 'score': 0.046111684292554855}, {'label': 'remorse', 'score': 0.036676906049251556}]
[{'label': 'surprise', 'score': 0.6367301940917969}, {'label': 'sadness', 'score': 0.09014706313610077}, {'label': 'fear', 'score': 0.07394807785749435}, {'label': 'disappointment', 'score': 0.044344283640384674}, {'label': 'remorse', 'score': 0.03468858078122139}]
[{'label': 'remorse', 'score': 0.4702082872390747}, {'label': 'sadness', 'score': 0.3305360972881317}, {'label': 'fear', 'score': 0.08670474588871002}, {'label': 'grief', 'score': 0.04879971966147423}, {'label': 'caring', 'score': 0.014498437754809856}]
[{'label': 'sadness', 'score': 0.3874530792236328}, {'label': 'remorse', 'score': 0.3060753047466278}, {'label': 'fear', 'score': 0.1700461357831955}, {'label': 'grief', 'score': 0.046063993126153946}, {'label': 'caring', 'score': 0.020652424544095993}]
[{'label': 'sadness', 'score': 0.4606187343597412}, {'label': 'remorse', 'score': 0.19694189727306366}, {'label': 'fear', 'score': 0.14728985726833344}, {'label': 'grief', 'score': 0.06597663462162018}, {'label': 'caring', 'score': 0.030122220516204834}]
[{'label': 'sadness', 'score': 0.46133309602737427}, {'label': 'remorse', 'score': 0.1914043426513672}, {'label': 'fear', 'score': 0.15500396490097046}, {'label': 'grief', 'score': 0.06634633243083954}, {'label': 'caring', 'score': 0.03212864324450493}]
[{'label': 'remorse', 'score': 0.6103138327598572}, {'label': 'sadness', 'score': 0.18673428893089294}, {'label': 'fear', 'score': 0.10160737484693527}, {'label': 'grief', 'score': 0.03339075669646263}, {'label': 'caring', 'score': 0.024368474259972572}]
[{'label': 'remorse', 'score': 0.6439223885536194}, {'label': 'sadness', 'score': 0.2002878189086914}, {'label': 'fear', 'score': 0.049985405057668686}, {'label': 'grief', 'score': 0.03275385871529579}, {'label': 'gratitude', 'score': 0.026694828644394875}]
[{'label': 'remorse', 'score': 0.681667149066925}, {'label': 'sadness', 'score': 0.18691720068454742}, {'label': 'gratitude', 'score': 0.04702545329928398}, {'label': 'grief', 'score': 0.019691474735736847}, {'label': 'fear', 'score': 0.017176605761051178}]
[{'label': 'remorse', 'score': 0.6632426381111145}, {'label': 'sadness', 'score': 0.21021857857704163}, {'label': 'gratitude', 'score': 0.042621105909347534}, {'label': 'fear', 'score': 0.018800418823957443}, {'label': 'grief', 'score': 0.018555285409092903}]
[{'label': 'remorse', 'score': 0.5328989624977112}, {'label': 'sadness', 'score': 0.2920919954776764}, {'label': 'gratitude', 'score': 0.04610389843583107}, {'label': 'disappointment', 'score': 0.03577224910259247}, {'label': 'embarrassment', 'score': 0.02283705212175846}]
[{'label': 'remorse', 'score': 0.47768014669418335}, {'label': 'sadness', 'score': 0.4064021706581116}, {'label': 'grief', 'score': 0.02525958977639675}, {'label': 'gratitude', 'score': 0.024045342579483986}, {'label': 'fear', 'score': 0.022969894111156464}]
[{'label': 'sadness', 'score': 0.46295297145843506}, {'label': 'remorse', 'score': 0.39969220757484436}, {'label': 'grief', 'score': 0.035459812730550766}, {'label': 'gratitude', 'score': 0.026467297226190567}, {'label': 'fear', 'score': 0.024641484022140503}]
